"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Indicateur","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-04-01 00:00","2023","04","01","00:00","","1,3","","0,5","","94","","0,0","","7","","8","","","","100,56","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-04-01 01:00","2023","04","01","01:00","","1,4","","0,6","","94","","0,2","","10","","9","","","","100,42","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-04-01 02:00","2023","04","01","02:00","","1,5","","0,7","","94","","0,0","","6","","8","","","","100,26","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-04-01 03:00","2023","04","01","03:00","","1,7","","0,9","","95","","0,0","","5","","11","","","","100,05","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-04-01 04:00","2023","04","01","04:00","","1,9","","1,2","","95","","0,7","","7","","10","","","","99,84","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-04-01 05:00","2023","04","01","05:00","","1,9","","0,9","","93","","0,2","","4","","10","","","","99,73","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-04-01 06:00","2023","04","01","06:00","","1,4","","0,7","","95","","2,2","","4","","17","","","","99,47","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-04-01 07:00","2023","04","01","07:00","","2,1","","1,3","","94","","3,1","","5","","13","","","","99,29","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-04-01 08:00","2023","04","01","08:00","","2,1","","1,4","","95","","1,4","","4","","16","","","","99,10","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-04-01 09:00","2023","04","01","09:00","","3,0","","2,5","","96","","1,2","","5","","16","","","","98,88","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-04-01 10:00","2023","04","01","10:00","","3,5","","2,9","","96","","1,1","","5","","13","","","","98,72","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-04-01 11:00","2023","04","01","11:00","","4,1","","3,4","","96","","0,5","","10","","4","","","","98,60","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-04-01 12:00","2023","04","01","12:00","","5,8","","4,6","","92","","0,0","","27","","15","","","","98,52","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-04-01 13:00","2023","04","01","13:00","","6,6","","5,6","","93","","0,0","","33","","13","","","","98,50","","","","","","ND"
