"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Indicateur","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 00:00","2023","12","01","00:00","","4,5","","-0,9","","68","","0,0","","16","","9","","","","100,55","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 01:00","2023","12","01","01:00","","6,9","","-0,1","","61","","0,0","","22","","8","","","","100,60","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 02:00","2023","12","01","02:00","","8,4","","0,8","","59","","0,0","","26","","12","","","","100,70","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 03:00","2023","12","01","03:00","","7,7","","1,2","","63","","0,0","","24","","11","","","","100,79","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 04:00","2023","12","01","04:00","","7,2","","1,8","","68","","0,0","","25","","6","","","","100,83","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 05:00","2023","12","01","05:00","","6,5","","1,9","","72","","0,0","","22","","5","","","","100,87","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 06:00","2023","12","01","06:00","","6,1","","1,9","","75","","0,0","","","","0","","","","100,91","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 07:00","2023","12","01","07:00","","6,3","","1,7","","73","","0,0","","","","0","","","","100,97","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 08:00","2023","12","01","08:00","","6,9","","1,8","","70","","0,0","","26","","3","","","","101,05","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 09:00","2023","12","01","09:00","","6,6","","1,9","","72","","0,0","","27","","3","","","","101,10","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 10:00","2023","12","01","10:00","","6,7","","2,3","","74","","0,2","","25","","4","","","","101,17","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 11:00","2023","12","01","11:00","","7,5","","1,9","","68","","0,5","","21","","5","","","","101,15","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 12:00","2023","12","01","12:00","","7,3","","1,8","","68","","0,0","","20","","9","","","","101,17","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 13:00","2023","12","01","13:00","","7,7","","1,0","","63","","0,0","","","","0","","","","101,14","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 14:00","2023","12","01","14:00","","8,1","","2,0","","66","","0,0","","23","","5","","","","101,16","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 15:00","2023","12","01","15:00","","7,7","","2,2","","68","","0,0","","16","","7","","","","101,14","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 16:00","2023","12","01","16:00","","7,2","","2,4","","72","","0,0","","22","","3","","","","101,17","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 17:00","2023","12","01","17:00","","6,3","","3,2","","81","","0,0","","","","0","","","","101,21","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 18:00","2023","12","01","18:00","","5,6","","4,4","","92","","0,0","","18","","10","","","","101,23","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 19:00","2023","12","01","19:00","","5,1","","4,0","","93","","0,2","","27","","4","","","","101,23","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 20:00","2023","12","01","20:00","","4,4","","3,6","","95","","1,0","","32","","5","","","","101,22","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 21:00","2023","12","01","21:00","","4,1","","3,2","","94","","1,3","","34","","5","","","","101,17","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 22:00","2023","12","01","22:00","","4,1","","3,3","","95","","0,2","","1","","5","","","","101,13","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-01 23:00","2023","12","01","23:00","","4,1","","3,4","","95","","0,3","","2","","8","","","","101,12","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 00:00","2023","12","02","00:00","","3,7","","2,9","","95","","0,2","","2","","12","","","","101,09","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 01:00","2023","12","02","01:00","","3,0","","2,1","","94","","0,0","","3","","13","","","","101,06","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 02:00","2023","12","02","02:00","","2,6","","2,0","","96","","0,0","","2","","15","","","","101,13","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 03:00","2023","12","02","03:00","","2,4","","1,6","","95","","0,2","","2","","15","","","","101,12","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 04:00","2023","12","02","04:00","","2,1","","1,3","","94","","0,0","","2","","13","","","","101,12","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 05:00","2023","12","02","05:00","","1,8","","1,0","","94","","0,3","","2","","15","","","","101,13","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 06:00","2023","12","02","06:00","","1,6","","0,7","","94","","0,2","","2","","13","","","","101,16","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 07:00","2023","12","02","07:00","","1,0","","0,5","","96","","0,2","","2","","12","","","","101,17","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 08:00","2023","12","02","08:00","","1,2","","0,7","","96","","0,2","","2","","14","","","","101,20","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 09:00","2023","12","02","09:00","","1,1","","0,5","","96","","0,6","","2","","13","","","","101,24","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 10:00","2023","12","02","10:00","","1,2","","0,4","","95","","0,2","","3","","15","","","","101,28","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 11:00","2023","12","02","11:00","","1,4","","0,6","","94","","0,2","","2","","17","","","","101,27","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 12:00","2023","12","02","12:00","","1,8","","0,8","","94","","0,0","","2","","18","","","","101,28","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 13:00","2023","12","02","13:00","","1,8","","0,8","","93","","0,0","","2","","15","","","","101,29","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 14:00","2023","12","02","14:00","","2,1","","0,9","","92","","0,0","","2","","17","","","","101,29","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 15:00","2023","12","02","15:00","","2,2","","0,6","","89","","0,2","","3","","9","","","","101,38","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 16:00","2023","12","02","16:00","","2,0","","0,9","","92","","0,0","","2","","12","","","","101,42","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 17:00","2023","12","02","17:00","","2,1","","0,3","","88","","0,0","","3","","12","","","","101,48","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 18:00","2023","12","02","18:00","","2,1","","0,4","","89","","0,0","","4","","10","","","","101,54","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 19:00","2023","12","02","19:00","","1,9","","-0,4","","85","","0,0","","5","","10","","","","101,57","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 20:00","2023","12","02","20:00","","1,3","","-1,7","","80","","0,0","","4","","19","","","","101,56","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 21:00","2023","12","02","21:00","","0,7","","-2,5","","79","","0,2","","4","","20","","","","101,57","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 22:00","2023","12","02","22:00","","0,4","","-2,4","","81","","0,0","","4","","14","","","","101,57","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-02 23:00","2023","12","02","23:00","","0,2","","-2,4","","82","","0,0","","5","","12","","","","101,59","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-03 00:00","2023","12","03","00:00","","-0,1","","-3,0","","80","","0,0","","4","","13","","","","101,59","","","","-4","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-03 01:00","2023","12","03","01:00","","-0,4","","-3,4","","80","","0,0","","4","","15","","","","101,57","","","","-5","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-03 02:00","2023","12","03","02:00","","-0,6","","-3,8","","79","","0,0","","4","","15","","","","101,54","","","","-5","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-03 03:00","2023","12","03","03:00","","-0,8","","-3,9","","79","","0,0","","4","","14","","","","101,56","","","","-5","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-12-03 04:00","2023","12","03","04:00","","-1,1","","-4,1","","80","","0,0","","3","","13","","","","101,50","","","","-5","","ND"
