"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Indicateur","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-02-01 00:00","2023","02","01","00:00","","-16,0","","-18,8","","79","","0,0","","11","","4","","","","102,19","","","","-19","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-02-01 01:00","2023","02","01","01:00","","-17,8","","-19,6","","86","","0,0","","11","","4","","","","102,16","","","","-21","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-02-01 02:00","2023","02","01","02:00","","-15,5","","-17,9","","82","","0,0","","11","","7","","","","102,15","","","","-20","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-02-01 03:00","2023","02","01","03:00","","-16,5","","-19,1","","80","","0,3","","13","","6","","","","102,13","","","","-21","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-02-01 04:00","2023","02","01","04:00","","-15,6","","-18,8","","77","","0,0","","11","","8","","","","102,07","","","","-21","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-02-01 05:00","2023","02","01","05:00","","-20,2","","-21,9","","86","","0,0","","","","0","","","","102,07","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-02-01 06:00","2023","02","01","06:00","","-16,3","","-19,3","","78","","0,0","","12","","5","","","","102,05","","","","-20","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-02-01 07:00","2023","02","01","07:00","","-21,4","","-23,2","","85","","0,0","","32","","7","","","","102,05","","","","-27","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-02-01 08:00","2023","02","01","08:00","","-19,9","","-21,9","","84","","0,0","","32","","5","","","","102,09","","","","-24","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-02-01 09:00","2023","02","01","09:00","","-16,0","","-18,4","","82","","0,2","","36","","4","","","","102,07","","","","-19","","ND"
