"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Indicateur","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-01-01 00:00","2023","01","01","00:00","","3,9","","3,8","","99","","1,4","","1","","14","","","","99,93","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-01-01 01:00","2023","01","01","01:00","","3,7","","3,5","","99","","0,2","","1","","8","","","","99,94","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-01-01 02:00","2023","01","01","02:00","","3,6","","3,4","","99","","0,2","","33","","7","","","","99,95","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-01-01 03:00","2023","01","01","03:00","","3,4","","3,2","","99","","0,6","","30","","8","","","","99,97","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-01-01 04:00","2023","01","01","04:00","","4,1","","4,0","","99","","0,2","","24","","7","","","","100,06","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-01-01 05:00","2023","01","01","05:00","","4,0","","3,8","","99","","0,6","","25","","12","","","","100,10","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-01-01 06:00","2023","01","01","06:00","","3,9","","3,7","","99","","0,3","","24","","10","","","","100,22","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-01-01 07:00","2023","01","01","07:00","","3,2","","3,0","","98","","0,2","","23","","12","","","","100,32","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-01-01 08:00","2023","01","01","08:00","","3,5","","3,2","","97","","0,0","","24","","8","","","","100,38","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-01-01 09:00","2023","01","01","09:00","","3,4","","2,9","","97","","0,5","","27","","14","","","","100,49","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-01-01 10:00","2023","01","01","10:00","","3,6","","3,0","","96","","0,0","","26","","12","","","","100,61","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-01-01 11:00","2023","01","01","11:00","","3,2","","2,7","","96","","0,0","","26","","15","","","","100,62","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-01-01 12:00","2023","01","01","12:00","","3,1","","2,4","","96","","0,0","","26","","16","","","","100,60","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-01-01 13:00","2023","01","01","13:00","","3,2","","2,4","","95","","0,0","","25","","16","","","","100,59","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-01-01 14:00","2023","01","01","14:00","","3,2","","2,2","","93","","0,0","","25","","19","","","","100,65","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-01-01 15:00","2023","01","01","15:00","","3,3","","2,0","","92","","0,0","","25","","16","","","","100,73","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-01-01 16:00","2023","01","01","16:00","","3,0","","1,7","","91","","0,0","","25","","15","","","","100,80","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-01-01 17:00","2023","01","01","17:00","","2,8","","1,1","","89","","0,0","","26","","12","","","","100,88","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-01-01 18:00","2023","01","01","18:00","","2,2","","0,1","","85","","0,0","","27","","12","","","","100,93","","","","","","ND"
