"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Indicateur","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-07-01 00:00","2023","07","01","00:00","","23,3","","18,3","","73","","0,0","","13","","10","","","","101,06","","30","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-07-01 01:00","2023","07","01","01:00","","22,0","","18,2","","79","","0,0","","14","","11","","","","101,03","","28","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-07-01 02:00","2023","07","01","02:00","","20,3","","17,5","","84","","0,0","","14","","8","","","","101,02","","26","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-07-01 03:00","2023","07","01","03:00","","19,8","","16,9","","83","","0,0","","13","","6","","","","101,00","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-07-01 04:00","2023","07","01","04:00","","20,1","","16,9","","82","","0,0","","13","","11","","","","100,98","","25","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-07-01 05:00","2023","07","01","05:00","","20,3","","16,7","","80","","0,0","","14","","12","","","","101,01","","25","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-07-01 06:00","2023","07","01","06:00","","20,9","","16,7","","77","","0,0","","14","","13","","","","101,01","","26","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-07-01 07:00","2023","07","01","07:00","","22,7","","16,9","","70","","0,0","","13","","11","","","","100,99","","28","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-07-01 08:00","2023","07","01","08:00","","23,6","","17,8","","70","","0,0","","14","","13","","","","100,99","","29","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-07-01 09:00","2023","07","01","09:00","","23,7","","17,8","","69","","0,0","","14","","13","","","","101,02","","30","","","","ND"
