"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Indicateur","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 00:00","2023","06","01","00:00","","21,6","","12,2","","55","","0,6","","21","","5","","","","101,38","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 01:00","2023","06","01","01:00","","20,5","","11,6","","57","","0,0","","19","","7","","","","101,37","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 02:00","2023","06","01","02:00","","20,2","","12,3","","60","","0,0","","21","","11","","","","101,38","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 03:00","2023","06","01","03:00","","19,6","","12,9","","65","","0,0","","23","","9","","","","101,39","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 04:00","2023","06","01","04:00","","19,3","","13,2","","68","","0,0","","23","","8","","","","101,43","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 05:00","2023","06","01","05:00","","19,1","","13,5","","70","","0,0","","23","","5","","","","101,44","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 06:00","2023","06","01","06:00","","20,0","","13,2","","65","","0,0","","22","","10","","","","101,44","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 07:00","2023","06","01","07:00","","21,5","","13,3","","60","","0,0","","22","","9","","","","101,46","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 08:00","2023","06","01","08:00","","23,9","","13,8","","53","","0,0","","22","","8","","","","101,48","","27","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 09:00","2023","06","01","09:00","","25,6","","14,3","","50","","0,0","","20","","11","","","","101,45","","29","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 10:00","2023","06","01","10:00","","27,7","","14,5","","44","","0,0","","21","","10","","","","101,45","","31","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 11:00","2023","06","01","11:00","","30,0","","15,8","","42","","0,0","","19","","10","","","","101,43","","34","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 12:00","2023","06","01","12:00","","30,7","","15,6","","40","","0,0","","18","","13","","","","101,36","","35","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 13:00","2023","06","01","13:00","","32,2","","15,8","","37","","0,0","","21","","11","","","","101,26","","37","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 14:00","2023","06","01","14:00","","33,5","","12,5","","28","","0,0","","20","","14","","","","101,19","","36","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 15:00","2023","06","01","15:00","","33,7","","8,2","","21","","0,0","","20","","13","","","","101,13","","34","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 16:00","2023","06","01","16:00","","34,0","","8,5","","21","","0,0","","22","","7","","","","101,10","","35","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 17:00","2023","06","01","17:00","","33,7","","10,8","","25","","0,0","","23","","9","","","","101,09","","35","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 18:00","2023","06","01","18:00","","25,4","","16,8","","59","","0,0","","1","","33","","","","101,25","","31","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 19:00","2023","06","01","19:00","","25,0","","15,7","","56","","0,0","","3","","29","","","","101,24","","29","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 20:00","2023","06","01","20:00","","25,0","","16,3","","58","","0,0","","7","","8","","","","101,13","","30","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 21:00","2023","06","01","21:00","","22,0","","17,1","","74","","0,0","","1","","12","","","","101,23","","27","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 22:00","2023","06","01","22:00","","21,7","","17,4","","77","","0,0","","27","","7","","","","101,24","","27","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-01 23:00","2023","06","01","23:00","","21,5","","17,6","","79","","0,0","","3","","8","","","","101,26","","27","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-02 00:00","2023","06","02","00:00","","19,0","","17,1","","89","","0,0","","33","","5","","","","101,25","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-02 01:00","2023","06","02","01:00","","19,4","","17,3","","88","","0,0","","33","","4","","","","101,21","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-02 02:00","2023","06","02","02:00","","19,0","","16,7","","86","","0,0","","1","","3","","","","101,17","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-02 03:00","2023","06","02","03:00","","17,6","","15,9","","90","","0,0","","","","0","","","","101,12","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-02 04:00","2023","06","02","04:00","","18,3","","15,8","","85","","0,0","","2","","5","","","","101,10","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-02 05:00","2023","06","02","05:00","","18,4","","15,4","","83","","0,0","","25","","3","","","","101,11","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-02 06:00","2023","06","02","06:00","","19,8","","17,4","","86","","0,0","","30","","4","","","","101,16","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-02 07:00","2023","06","02","07:00","","22,7","","17,0","","70","","0,0","","36","","8","","","","101,19","","28","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-02 08:00","2023","06","02","08:00","","24,3","","16,4","","61","","0,0","","1","","10","","","","101,18","","29","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-02 09:00","2023","06","02","09:00","","26,9","","14,9","","48","","0,0","","7","","8","","","","101,15","","31","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-02 10:00","2023","06","02","10:00","","28,3","","14,3","","42","","0,0","","2","","7","","","","101,13","","32","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-02 11:00","2023","06","02","11:00","","29,5","","14,4","","40","","0,0","","36","","13","","","","101,10","","33","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-02 12:00","2023","06","02","12:00","","30,4","","15,4","","40","","0,0","","31","","8","","","","101,03","","35","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-06-02 13:00","2023","06","02","13:00","","31,6","","14,6","","36","","0,0","","1","","9","","","","100,95","","35","","","","ND"
