"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Indicateur","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-03-01 00:00","2023","03","01","00:00","","0,0","","-4,6","","71","","0,0","","24","","18","","","","100,95","","","","-5","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-03-01 01:00","2023","03","01","01:00","","-1,0","","-5,5","","71","","0,0","","25","","25","","","","101,05","","","","-7","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-03-01 02:00","2023","03","01","02:00","","-1,3","","-5,7","","72","","0,0","","25","","19","","","","101,13","","","","-7","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-03-01 03:00","2023","03","01","03:00","","-1,4","","-5,6","","73","","0,0","","25","","13","","","","101,21","","","","-6","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-03-01 04:00","2023","03","01","04:00","","-1,6","","-5,7","","73","","0,0","","25","","13","","","","101,29","","","","-6","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-03-01 05:00","2023","03","01","05:00","","-2,1","","-5,9","","75","","0,0","","24","","8","","","","101,38","","","","-5","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-03-01 06:00","2023","03","01","06:00","","-2,0","","-5,5","","77","","0,0","","25","","9","","","","101,43","","","","-5","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-03-01 07:00","2023","03","01","07:00","","-2,5","","-5,9","","77","","0,0","","25","","8","","","","101,49","","","","-6","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-03-01 08:00","2023","03","01","08:00","","-2,0","","-5,8","","75","","0,0","","24","","7","","","","101,52","","","","-5","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-03-01 09:00","2023","03","01","09:00","","-1,8","","-6,2","","72","","0,0","","27","","7","","","","101,53","","","","-4","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-03-01 10:00","2023","03","01","10:00","","0,0","","-4,9","","70","","0,0","","26","","8","","","","101,52","","","","-3","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-03-01 11:00","2023","03","01","11:00","","-0,2","","-4,5","","72","","0,0","","21","","9","","","","101,52","","","","-3","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-03-01 12:00","2023","03","01","12:00","","0,2","","-4,2","","72","","0,0","","17","","9","","","","101,46","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-03-01 13:00","2023","03","01","13:00","","1,1","","-4,7","","65","","0,0","","17","","7","","","","101,38","","","","","","ND"
