"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Indicateur","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 00:00","2023","11","01","00:00","","0,2","","-8,1","","54","","0,0","","7","","8","","","","101,48","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 01:00","2023","11","01","01:00","","0,1","","-8,3","","53","","0,0","","5","","11","","","","101,45","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 02:00","2023","11","01","02:00","","0,2","","-9,1","","50","","0,0","","5","","12","","","","101,43","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 03:00","2023","11","01","03:00","","0,2","","-9,5","","48","","0,0","","5","","10","","","","101,34","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 04:00","2023","11","01","04:00","","0,0","","-9,1","","50","","0,0","","5","","11","","","","101,35","","","","-4","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 05:00","2023","11","01","05:00","","0,0","","-8,8","","52","","0,0","","4","","14","","","","101,37","","","","-4","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 06:00","2023","11","01","06:00","","-0,3","","-8,4","","54","","0,0","","3","","15","","","","101,42","","","","-5","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 07:00","2023","11","01","07:00","","-0,8","","-5,9","","68","","0,0","","2","","17","","","","101,46","","","","-6","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 08:00","2023","11","01","08:00","","-0,7","","-5,8","","68","","0,0","","4","","15","","","","101,52","","","","-5","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 09:00","2023","11","01","09:00","","-0,1","","-7,7","","56","","0,0","","4","","21","","","","101,53","","","","-6","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 10:00","2023","11","01","10:00","","-0,4","","-6,2","","65","","0,0","","3","","21","","","","101,56","","","","-6","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 11:00","2023","11","01","11:00","","0,4","","-6,0","","62","","0,0","","4","","18","","","","101,55","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 12:00","2023","11","01","12:00","","0,9","","-6,4","","58","","0,0","","2","","11","","","","101,54","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 13:00","2023","11","01","13:00","","2,3","","-6,5","","52","","0,2","","3","","8","","","","101,54","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 14:00","2023","11","01","14:00","","1,9","","-6,8","","52","","0,2","","1","","10","","","","101,57","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 15:00","2023","11","01","15:00","","2,1","","-7,9","","48","","0,0","","35","","8","","","","101,62","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 16:00","2023","11","01","16:00","","2,1","","-8,8","","44","","0,0","","36","","5","","","","101,67","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 17:00","2023","11","01","17:00","","1,1","","-8,7","","48","","0,0","","26","","4","","","","101,72","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 18:00","2023","11","01","18:00","","0,7","","-8,3","","51","","0,4","","25","","9","","","","101,80","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 19:00","2023","11","01","19:00","","0,1","","-5,3","","67","","0,0","","25","","11","","","","101,86","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 20:00","2023","11","01","20:00","","0,0","","-5,0","","69","","0,0","","25","","11","","","","101,91","","","","-4","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 21:00","2023","11","01","21:00","","-0,3","","-4,9","","71","","0,0","","25","","18","","","","101,94","","","","-5","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-11-01 22:00","2023","11","01","22:00","","-0,9","","-4,8","","75","","0,0","","26","","12","","","","101,98","","","","-5","","ND"
