"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Indicateur","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 00:00","2023","10","01","00:00","","16,7","","11,9","","74","","0,0","","24","","6","","","","101,89","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 01:00","2023","10","01","01:00","","15,5","","11,4","","76","","0,0","","20","","3","","","","101,87","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 02:00","2023","10","01","02:00","","14,2","","11,6","","85","","0,0","","25","","4","","","","101,89","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 03:00","2023","10","01","03:00","","14,6","","11,6","","82","","0,0","","23","","5","","","","101,90","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 04:00","2023","10","01","04:00","","14,8","","12,3","","85","","0,0","","23","","6","","","","101,92","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 05:00","2023","10","01","05:00","","13,2","","11,4","","89","","0,0","","26","","5","","","","101,96","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 06:00","2023","10","01","06:00","","12,6","","11,6","","94","","0,0","","27","","5","","","","102,00","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 07:00","2023","10","01","07:00","","14,7","","13,1","","90","","0,0","","25","","3","","","","102,00","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 08:00","2023","10","01","08:00","","16,5","","13,6","","83","","0,0","","24","","4","","","","102,01","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 09:00","2023","10","01","09:00","","18,6","","14,2","","75","","0,0","","21","","3","","","","102,02","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 10:00","2023","10","01","10:00","","20,7","","14,1","","66","","0,0","","36","","7","","","","102,03","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 11:00","2023","10","01","11:00","","22,7","","13,4","","56","","0,0","","4","","8","","","","102,00","","26","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 12:00","2023","10","01","12:00","","23,9","","14,8","","57","","0,0","","2","","13","","","","101,99","","28","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 13:00","2023","10","01","13:00","","24,3","","15,0","","56","","0,0","","2","","10","","","","101,91","","28","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 14:00","2023","10","01","14:00","","24,5","","14,7","","54","","0,0","","1","","9","","","","101,89","","28","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 15:00","2023","10","01","15:00","","23,8","","14,1","","55","","0,0","","1","","14","","","","101,87","","27","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 16:00","2023","10","01","16:00","","23,4","","14,4","","57","","0,0","","2","","12","","","","101,87","","27","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 17:00","2023","10","01","17:00","","22,7","","14,5","","60","","0,0","","1","","10","","","","101,89","","26","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 18:00","2023","10","01","18:00","","22,0","","14,3","","62","","0,0","","3","","8","","","","101,92","","26","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 19:00","2023","10","01","19:00","","22,0","","13,4","","58","","0,0","","5","","5","","","","101,94","","25","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 20:00","2023","10","01","20:00","","21,0","","11,2","","54","","0,0","","5","","7","","","","101,99","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 21:00","2023","10","01","21:00","","20,2","","9,5","","50","","0,0","","5","","9","","","","102,00","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 22:00","2023","10","01","22:00","","18,0","","9,4","","57","","0,0","","3","","4","","","","102,00","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-01 23:00","2023","10","01","23:00","","15,7","","12,6","","82","","0,0","","1","","6","","","","102,05","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-02 00:00","2023","10","02","00:00","","14,8","","11,1","","78","","0,0","","1","","7","","","","102,05","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-02 01:00","2023","10","02","01:00","","12,8","","9,4","","80","","0,0","","1","","7","","","","102,03","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-02 02:00","2023","10","02","02:00","","12,7","","9,8","","83","","0,0","","36","","3","","","","102,01","","","","","","ND"
"-73,74","45,47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2023-10-02 03:00","2023","10","02","03:00","","11,2","","9,9","","92","","0,0","","32","","3","","","","102,03","","","","","","ND"
