Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
13.8,,70,,15,101.38,,
12.8,,76,,13,101.39,,
11.8,,80,,9,101.43,,
11.1,,82,,12,101.47,,
10.7,,84,,10,101.53,,
10.1,,86,,6,101.58,,
13,,77,,10,101.64,,
15.1,,66,,10,101.68,,
16.5,,61,,8,101.7,,
17.8,,55,,10,101.72,,
18.8,,52,,12,101.74,,
18.9,,54,,8,101.72,,
19.5,,47,,14,101.69,,
19.9,,47,,18,101.68,,
20.1,,46,,17,101.69,,
20.3,,44,,17,101.66,,
20.2,,49,,14,101.65,,
20.1,,51,,14,101.64,,
20.2,,50,,14,101.66,,
18.2,,58,,9,101.69,,
17.5,,61,,10,101.76,,
15.9,,69,,8,101.79,,
16.3,,66,,8,101.79,,
14,,80,,7,101.81,,
14.5,,76,,3,101.81,,
13.7,,80,,6,101.83,,
14.2,,77,,3,101.8,,
13.4,,82,,5,101.83,,
12.5,,84,,0,101.85,,
11.2,,93,,0,101.88,,
14.7,,83,,0,101.88,,
17.1,,77,,4,101.91,,
18.4,,71,,4,101.9,,
19.8,,64,,6,101.89,,
21.2,,59,,6,101.86,,
21.4,,48,,9,101.81,,
22.2,,47,,11,101.78,,
22.8,,42,,13,101.74,,
23.8,,42,,16,101.7,,
23.8,,40,,18,101.64,,
23.9,,44,,18,101.61,,
22.9,,47,,17,101.56,,
22.8,,49,,11,101.52,,
21.9,,55,,16,101.5,,
20.4,,61,,17,101.49,,
20,,61,,20,101.47,,
19.6,,62,,18,101.43,,
19,,65,,17,101.39,,
18.2,,69,,10,101.36,,
16.9,,78,,14,101.28,,
17.6,,73,,11,101.17,,
17.4,,74,,15,101.08,,
17.8,,71,,13,101.03,,
18.5,,68,,13,101.02,,
18.6,,72,,19,101.06,,
17.1,,91,,19,101.04,,
18.1,,86,,15,100.98,,
19.6,,83,,20,100.94,,
20.9,,77,,24,100.88,,
22.1,,74,,22,100.84,,
22.4,,75,,20,100.8,,
23.5,,72,,20,100.75,,
23.5,,72,,24,100.74,,
23.9,,71,,17,100.65,,
24.5,,68,,20,100.62,,
24.5,,67,,25,100.59,,
24.1,,71,,14,100.54,,
22.8,,78,,15,100.54,,
21,,70,,33,100.57,,
18.5,,79,,8,100.63,,
18.2,,86,,11,100.65,,
17.6,,92,,12,100.51,,
17.7,,93,,11,100.51,,
18.1,,92,,18,100.47,,
18.3,,95,,8,100.48,,
18.1,,96,,9,100.47,,
18.8,,94,,9,100.48,,
18.6,,95,,11,100.5,,
19.5,,88,,14,100.51,,
19.5,,87,,12,100.54,,
20.4,,83,,13,100.55,,
20.9,,78,,15,100.56,,
21.7,,77,,11,100.58,,
21.8,,77,,8,100.58,,
23.3,,73,,12,100.59,,
23.6,,69,,10,100.58,,
25.1,,55,,12,100.6,,
25.2,,57,,12,100.58,,
24.8,,57,,13,100.57,,
24.8,,56,,11,100.62,,
24.1,,52,,17,100.68,,
23.6,,52,,11,100.7,,
22.1,,72,,11,100.79,,
20.9,,79,,4,100.83,,
19.5,,77,,10,100.86,,
18.9,,76,,10,100.9,,
18.6,,76,,8,100.91,,
17,,83,,5,100.92,,
15.9,,87,,9,100.93,,
16,,86,,5,100.96,,
14.9,,89,,7,101.01,,
16,,87,,6,101.06,,
17.1,,81,,0,101.08,,
17.6,,76,,12,101.11,,
18.9,,73,,11,101.13,,
20.3,,66,,11,101.14,,
20.9,,66,,17,101.14,,
22.4,,63,,16,101.14,,
22.9,,58,,12,101.13,,
22.9,,55,,9,101.12,,
24.2,,53,,17,101.13,,
24.7,,49,,16,101.11,,
24.8,,47,,14,101.1,,
24.6,,46,,15,101.11,,
23.4,,50,,15,101.12,,
22.4,,54,,10,101.11,,
21.5,,58,,7,101.14,,
20.8,,63,,9,101.16,,
20.4,,67,,8,101.17,,
