Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
1.3,,94,,8,100.56,,
1.4,,94,,9,100.42,,
1.5,,94,,8,100.26,,
1.7,,95,,11,100.05,,
1.9,,95,,10,99.84,,
1.9,,93,,10,99.73,,
1.4,,95,,17,99.47,,
2.1,,94,,13,99.29,,
2.1,,95,,16,99.1,,
3,,96,,16,98.88,,
3.5,,96,,13,98.72,,
4.1,,96,,4,98.6,,
5.8,,92,,15,98.52,,
6.6,,93,,13,98.5,,
9.7,,87,,8,98.44,,
11,,72,,19,98.39,,
11.5,,67,,16,98.42,,
10.6,,68,,22,98.52,,
8.8,,70,,23,98.68,,
7.3,,72,,20,98.84,,
5.2,,64,,25,99.06,,
4.3,,70,,15,99.25,,
3.8,,72,,19,99.34,,
2.6,,67,,19,99.51,,
2.2,,60,,20,99.72,,
1.4,,62,,25,99.89,,
-0.6,,56,,26,100.1,,
-1.9,,59,,23,100.27,,
-3.6,,54,,20,100.53,,
-5.1,,60,,29,100.77,,
-6.6,,59,,27,100.95,,
-7.4,,54,,23,101.14,,
-6.4,,51,,22,101.25,,
-5.5,,47,,17,101.31,,
-4.6,,47,,18,101.39,,
-3.9,,41,,20,101.4,,
-2.4,,42,,23,101.39,,
-1.3,,36,,25,101.37,,
-1,,34,,23,101.34,,
0.1,,35,,25,101.35,,
0.3,,33,,20,101.35,,
0.4,,35,,20,101.35,,
-0.3,,41,,20,101.36,,
-0.8,,44,,17,101.43,,
-1.1,,45,,13,101.49,,
-0.8,,46,,11,101.47,,
-0.6,,47,,10,101.43,,
-1.6,,64,,10,101.42,,
-1.2,,57,,11,101.4,,
-1.7,,61,,11,101.39,,
-2.6,,66,,11,101.39,,
-2.6,,63,,7,101.34,,
-2,,66,,7,101.32,,
-1.7,,60,,9,101.28,,
-1.6,,57,,12,101.26,,
-0.2,,54,,13,101.18,,
1.7,,48,,20,101.12,,
2.2,,43,,18,100.95,,
2.6,,59,,19,100.77,,
3.6,,44,,25,100.5,,
4.9,,42,,30,100.35,,
6.1,,38,,18,100.48,,
5.9,,64,,9,100.46,,
6.2,,57,,18,100.33,,
6.8,,62,,5,100.39,,
7.9,,53,,7,100.42,,
8.3,,52,,16,100.54,,
7.7,,57,,18,100.66,,
7.5,,58,,11,100.71,,
6.6,,61,,10,100.77,,
5.6,,65,,9,100.79,,
5.8,,66,,10,100.87,,
4.1,,71,,15,100.97,,
1.8,,79,,8,101.03,,
1.9,,80,,6,101.09,,
1.4,,82,,0,101.17,,
0.9,,86,,3,101.25,,
0,,90,,3,101.3,,
-0.5,,93,,3,101.4,,
1.5,,87,,3,101.5,,
3.9,,72,,11,101.51,,
5.6,,60,,13,101.56,,
6.5,,55,,10,101.58,,
7.5,,51,,5,101.53,,
8.5,,48,,8,101.62,,
9,,46,,5,101.71,,
9.9,,42,,5,101.73,,
10,,39,,5,101.76,,
10.2,,43,,11,101.8,,
9.2,,45,,17,101.9,,
7.8,,48,,21,102.03,,
6.1,,52,,21,102.13,,
5.3,,50,,15,102.3,,
3.9,,42,,23,102.39,,
2.7,,40,,24,102.44,,
1.7,,38,,23,102.42,,
0.8,,38,,31,102.47,,
0,,42,,25,102.57,,
-0.7,,43,,30,102.62,,
-1,,45,,29,102.6,,
-1.3,,46,,23,102.67,,
-1.7,,47,,29,102.58,,
-1.8,,49,,29,102.53,,
-1.7,,49,,26,102.38,,
-1.6,,50,,28,102.36,,
-2.2,,64,,35,102.09,,
-2.4,,84,,30,102.1,,
-2.1,,87,,10,101.82,,
-1.4,,90,,5,101.77,,
-1,,91,,0,101.55,,
-0.6,,94,,0,101.52,,
-0.3,,94,,0,101.41,,
0.1,,94,,0,101.43,,
0.1,,95,,0,101.29,,
0.3,,95,,0,101.22,,
0.4,,96,,0,101.23,,
0.4,,95,,0,101.2,,
0.3,,95,,0,101.17,,
0.3,,96,,0,101.09,,
0.2,,96,,0,101.14,,
0,,96,,0,101.13,,
-0.1,,97,,0,100.99,,
0,,97,,0,100.94,,
0.1,,97,,0,100.97,,
0.2,,97,,0,101.02,,
0.2,,97,,0,101.05,,
0.2,,97,,0,101.13,,
0.3,,97,,14.9789916,101.19,,
0.5,,96,,14.9789916,101.2,,
0.7,,96,,14.9789916,101.25,,
1.5,,97,,14.9789916,101.28,,
2.5,,98,,14.9789916,101.35,,
3.4,,98,,14.9789916,101.34,,
4.9,,89,,17,101.33,,
7.5,,78,,17,101.34,,
8.6,,74,,12,101.24,,
9.4,,71,,16,101.28,,
9.7,,58,,21,101.3,,
9.1,,54,,19,101.34,,
7.6,,59,,23,101.39,,
7.8,,58,,23,101.46,,
7.6,,58,,22,101.5,,
6.5,,64,,24,101.57,,
5.7,,67,,22,101.66,,
4.8,,72,,16,101.66,,
4.3,,71,,13,101.6,,
4.3,,72,,18,101.58,,
3.7,,68,,18,101.57,,
3.5,,47,,28,101.57,,
3,,48,,28,101.58,,
2.5,,51,,29,101.66,,
1.5,,62,,36,101.8,,
2.1,,40,,39,101.87,,
1.3,,41,,38,101.98,,
1.9,,46,,33,102.12,,
2.2,,42,,33,102.19,,
2.3,,36,,31,102.23,,
2.8,,39,,34,102.24,,
3.2,,36,,34,102.23,,
3.5,,36,,36,102.25,,
3.5,,37,,28,102.24,,
3.3,,35,,26,102.28,,
2.6,,37,,24,102.35,,
1.2,,44,,16,102.44,,
-0.4,,49,,10,102.51,,
-0.1,,46,,4,102.59,,
-1.2,,51,,6,102.6,,
-0.8,,45,,6,102.65,,
-1.4,,47,,8,102.7,,
-2.7,,52,,7,102.74,,
-3.8,,60,,9,102.73,,
-3.9,,58,,8,102.76,,
-4.5,,59,,10,102.81,,
-4.6,,61,,5,102.88,,
-4.1,,59,,3,102.94,,
-1.4,,48,,9,103.02,,
0,,42,,10,103.05,,
0.5,,37,,9,103.06,,
1.8,,34,,16,103.06,,
2.4,,33,,19,103.02,,
3.4,,36,,17,102.94,,
4.5,,37,,16,102.89,,
4.6,,30,,15,102.81,,
5.3,,30,,16,102.7,,
5.3,,28,,18,102.64,,
5.1,,28,,17,102.61,,
4.6,,32,,18,102.6,,
3.7,,36,,15,102.61,,
3.3,,38,,10,102.66,,
2.7,,44,,10,102.7,,
2.1,,49,,7,102.68,,
1.8,,48,,7,102.7,,
0.6,,52,,3,102.74,,
-1.4,,66,,3,102.77,,
-1.9,,72,,3,102.79,,
-1.4,,64,,4,102.8,,
-0.6,,64,,5,102.82,,
-1.1,,65,,6,102.86,,
-1.4,,65,,5,102.95,,
0.4,,61,,5,103.01,,
2.7,,54,,5,103.02,,
4.8,,47,,4,103.05,,
6.4,,45,,10,103.04,,
6.8,,35,,15,103,,
8.4,,34,,19,102.92,,
9.5,,23,,20,102.88,,
9.4,,25,,19,102.8,,
10,,21,,22,102.71,,
10,,22,,22,102.66,,
9.6,,23,,22,102.65,,
9,,28,,16,102.59,,
7.4,,33,,11,102.56,,
7.1,,32,,9,102.54,,
6.2,,42,,10,102.53,,
5.7,,40,,10,102.51,,
5.7,,40,,8,102.49,,
5,,44,,10,102.51,,
3.9,,51,,7,102.49,,
3.1,,58,,9,102.46,,
2.2,,62,,5,102.42,,
2.3,,59,,8,102.46,,
2.4,,60,,11,102.46,,
2.7,,60,,13,102.49,,
4.2,,53,,17,102.51,,
6.3,,48,,13,102.46,,
7.5,,46,,17,102.4,,
9.9,,40,,18,102.34,,
12.3,,38,,21,102.26,,
14.6,,36,,21,102.15,,
15.7,,33,,23,102.05,,
16.9,,33,,22,101.96,,
16.7,,34,,21,101.86,,
18.1,,33,,22,101.8,,
17.3,,33,,20,101.77,,
15.5,,39,,16,101.72,,
14.8,,36,,21,101.7,,
14.2,,37,,23,101.68,,
13.7,,38,,23,101.69,,
12.9,,40,,21,101.62,,
11.2,,46,,11,101.61,,
11.7,,45,,13,101.57,,
10.5,,49,,15,101.47,,
11.2,,46,,12,101.43,,
10.2,,51,,11,101.35,,
10.1,,53,,16,101.27,,
10.9,,50,,17,101.23,,
11.1,,50,,17,101.18,,
11.6,,48,,19,101.11,,
11.7,,47,,16,101.05,,
11.8,,45,,21,100.85,,
13.6,,38,,25,100.82,,
15.2,,34,,24,100.68,,
16.2,,33,,23,100.5,,
17.1,,33,,28,100.36,,
17,,34,,26,100.23,,
15.5,,38,,30,100.07,,
16,,37,,30,99.96,,
17.4,,38,,25,99.95,,
17,,41,,22,99.91,,
16.3,,44,,27,99.96,,
15.3,,38,,19,100.09,,
14.4,,37,,16,100.16,,
14.1,,37,,21,100.21,,
12.5,,41,,20,100.24,,
11.5,,35,,24,100.33,,
11.3,,35,,25,100.36,,
10.5,,39,,23,100.4,,
9.1,,45,,18,100.44,,
8,,49,,12,100.48,,
8.4,,48,,14,100.52,,
8.4,,50,,20,100.6,,
8.6,,51,,24,100.64,,
8.5,,50,,21,100.65,,
8.7,,48,,20,100.67,,
9.2,,47,,23,100.65,,
9.9,,45,,18,100.66,,
11.3,,42,,22,100.62,,
12.6,,36,,19,100.56,,
13.3,,37,,19,100.51,,
15.3,,34,,18,100.43,,
15.7,,33,,16,100.43,,
16,,32,,17,100.41,,
15.5,,35,,11,100.41,,
12.7,,44,,5,100.41,,
13.3,,39,,4,100.4,,
11.7,,47,,8,100.42,,
11.4,,48,,9,100.39,,
11.3,,52,,8,100.34,,
12,,47,,10,100.28,,
12.3,,45,,9,100.21,,
11.8,,46,,6,100.2,,
10.8,,50,,7,100.21,,
10,,53,,6,100.21,,
6.6,,71,,7,100.31,,
6.9,,69,,10,100.41,,
8.7,,60,,9,100.46,,
11.6,,51,,3,100.41,,
13.3,,47,,5,100.41,,
16.4,,46,,8,100.38,,
20.1,,49,,13,100.3,,
22.8,,44,,11,100.23,,
24,,41,,15,100.14,,
26.9,,36,,23,100.07,,
27,,35,,24,100.05,,
27.5,,33,,20,99.97,,
24.8,,37,,15,100.02,,
24.8,,38,,18,100.1,,
23.6,,40,,18,100.14,,
22.8,,40,,19,100.19,,
20.7,,46,,14,100.24,,
19.6,,50,,8,100.27,,
18.8,,51,,12,100.32,,
17.3,,57,,10,100.38,,
15.7,,63,,4,100.44,,
14.4,,67,,13,100.55,,
13.7,,50,,13,100.64,,
13.5,,36,,11,100.71,,
12.7,,35,,11,100.83,,
12.4,,37,,12,100.92,,
13,,35,,19,100.98,,
13.6,,34,,18,101.04,,
14.9,,35,,14,101.04,,
14.9,,34,,17,101.1,,
15.8,,31,,13,101.09,,
17.5,,29,,13,101.06,,
18.2,,28,,11,101.04,,
18.8,,24,,17,100.98,,
19.6,,24,,14,100.91,,
19.6,,23,,16,100.89,,
19.3,,23,,16,100.9,,
18.3,,22,,19,100.89,,
17.3,,23,,18,100.91,,
16.3,,31,,14,100.99,,
15.1,,34,,13,101.04,,
14.2,,32,,21,100.98,,
12.1,,42,,11,101,,
11,,46,,10,101,,
10.2,,47,,20,100.94,,
9.8,,44,,19,100.88,,
8.4,,52,,22,100.9,,
7.8,,53,,16,100.89,,
7.4,,56,,16,100.91,,
7.5,,56,,19,100.93,,
8.7,,54,,20,100.96,,
10.2,,48,,26,100.95,,
12.5,,44,,26,100.92,,
15.4,,41,,19,100.87,,
17.3,,39,,14,100.83,,
19.4,,36,,15,100.77,,
21,,34,,18,100.7,,
22.3,,34,,16,100.63,,
23.5,,32,,16,100.57,,
22.9,,35,,22,100.54,,
21.8,,37,,23,100.55,,
20.8,,38,,24,100.59,,
19.5,,41,,16,100.61,,
17.7,,41,,15,100.63,,
16.5,,42,,16,100.63,,
14,,49,,12,100.63,,
12.7,,50,,17,100.59,,
11.3,,50,,21,100.56,,
10,,53,,17,100.51,,
8.8,,57,,18,100.56,,
7.6,,61,,15,100.63,,
7.4,,61,,11,100.7,,
7.3,,62,,12,100.71,,
7.2,,63,,16,100.68,,
8.1,,62,,18,100.68,,
9.5,,57,,15,100.65,,
11.5,,54,,14,100.66,,
14.1,,50,,13,100.6,,
16.6,,51,,11,100.56,,
19.4,,46,,11,100.47,,
21.6,,43,,14,100.36,,
23.2,,43,,14,100.28,,
23.9,,41,,16,100.2,,
23.8,,41,,21,100.14,,
22.7,,42,,21,100.1,,
21.5,,47,,19,100.04,,
19.7,,55,,15,100.02,,
18.5,,57,,16,100.05,,
16.5,,55,,19,100.02,,
15.1,,59,,19,99.98,,
14.1,,62,,16,99.94,,
13,,66,,18,99.95,,
12.4,,70,,14,99.94,,
11.2,,74,,13,99.88,,
10.9,,74,,15,99.83,,
10.8,,77,,15,99.77,,
10,,79,,17,99.74,,
10.4,,80,,16,99.74,,
11.3,,81,,9,99.72,,
10.8,,82,,4,99.78,,
11.1,,90,,14,99.79,,
9.8,,92,,17,99.78,,
9.1,,90,,19,99.8,,
8.4,,93,,14,99.76,,
8.5,,95,,13,99.72,,
8.4,,93,,14,99.66,,
8.5,,94,,12,99.64,,
8.4,,95,,9,99.63,,
8.2,,92,,11,99.7,,
8.4,,92,,7,99.68,,
8.3,,91,,6,99.7,,
7.7,,94,,7,99.71,,
8,,95,,8,99.69,,
7.8,,95,,10,99.68,,
7.8,,95,,11,99.65,,
7.8,,82,,25,99.73,,
6.5,,81,,17,99.74,,
5.9,,84,,11,99.71,,
5.8,,81,,14,99.68,,
5.2,,77,,19,99.73,,
5.1,,80,,15,99.77,,
5.1,,75,,23,99.78,,
5.5,,71,,18,99.82,,
6.3,,69,,18,99.8,,
7.9,,63,,17,99.8,,
7.8,,55,,24,99.81,,
7.4,,58,,26,99.83,,
8.3,,57,,22,99.85,,
8.6,,52,,20,99.86,,
9.3,,51,,25,99.87,,
9.2,,51,,23,99.93,,
8.9,,49,,28,99.97,,
8.5,,51,,29,100.04,,
