Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
4.5,,68,,9,100.55,,
6.9,,61,,8,100.6,,
8.4,,59,,12,100.7,,
7.7,,63,,11,100.79,,
7.2,,68,,6,100.83,,
6.5,,72,,5,100.87,,
6.1,,75,,0,100.91,,
6.3,,73,,0,100.97,,
6.9,,70,,3,101.05,,
6.6,,72,,3,101.1,,
6.7,,74,,4,101.17,,
7.5,,68,,5,101.15,,
7.3,,68,,9,101.17,,
7.7,,63,,0,101.14,,
8.1,,66,,5,101.16,,
7.7,,68,,7,101.14,,
7.2,,72,,3,101.17,,
6.3,,81,,0,101.21,,
5.6,,92,,10,101.23,,
5.1,,93,,4,101.23,,
4.4,,95,,5,101.22,,
4.1,,94,,5,101.17,,
4.1,,95,,5,101.13,,
4.1,,95,,8,101.12,,
3.7,,95,,12,101.09,,
3,,94,,13,101.06,,
2.6,,96,,15,101.13,,
2.4,,95,,15,101.12,,
2.1,,94,,13,101.12,,
1.8,,94,,15,101.13,,
1.6,,94,,13,101.16,,
1,,96,,12,101.17,,
1.2,,96,,14,101.2,,
1.1,,96,,13,101.24,,
1.2,,95,,15,101.28,,
1.4,,94,,17,101.27,,
1.8,,94,,18,101.28,,
1.8,,93,,15,101.29,,
2.1,,92,,17,101.29,,
2.2,,89,,9,101.38,,
2,,92,,12,101.42,,
2.1,,88,,12,101.48,,
2.1,,89,,10,101.54,,
1.9,,85,,10,101.57,,
1.3,,80,,19,101.56,,
0.7,,79,,20,101.57,,
0.4,,81,,14,101.57,,
0.2,,82,,12,101.59,,
-0.1,,80,,13,101.59,,
-0.4,,80,,15,101.57,,
-0.6,,79,,15,101.54,,
-0.8,,79,,14,101.56,,
-1.1,,80,,13,101.5,,
-1.4,,84,,19,101.4,,
-1.5,,85,,18,101.39,,
-1.5,,85,,21,101.36,,
-1.2,,86,,20,101.29,,
-1.3,,89,,21,101.22,,
-0.9,,90,,19,101.16,,
-0.6,,91,,17,101.02,,
-0.9,,94,,20,100.88,,
-0.1,,93,,20,100.74,,
0,,93,,21,100.67,,
-0.1,,94,,22,100.6,,
