Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
-16,,79,,4,102.19,,
-17.8,,86,,4,102.16,,
-15.5,,82,,7,102.15,,
-16.5,,80,,6,102.13,,
-15.6,,77,,8,102.07,,
-20.2,,86,,0,102.07,,
-16.3,,78,,5,102.05,,
-21.4,,85,,7,102.05,,
-19.9,,84,,5,102.09,,
-16,,82,,4,102.07,,
-12.8,,69,,0,102.02,,
-11,,61,,5,101.94,,
-10.4,,72,,5,101.88,,
-9.5,,75,,11,101.85,,
-8.9,,69,,9,101.77,,
-8.1,,66,,12,101.72,,
-8.5,,67,,10,101.7,,
-8.6,,70,,10,101.72,,
-8,,71,,8,101.75,,
-6.5,,64,,10,101.73,,
-6.4,,61,,15,101.71,,
-6.5,,66,,12,101.68,,
-5.9,,67,,15,101.68,,
-6.4,,69,,16,101.68,,
-6.3,,70,,14,101.63,,
-6.1,,70,,12,101.56,,
-5.4,,67,,15,101.5,,
-5.4,,69,,15,101.44,,
-5.9,,89,,13,101.39,,
-5.5,,90,,14,101.36,,
-5.1,,86,,15,101.33,,
-4.7,,82,,11,101.31,,
-4.3,,77,,15,101.3,,
-3.9,,74,,14,101.25,,
-3.5,,78,,11,101.14,,
-3.3,,82,,15,100.98,,
-2.3,,74,,25,100.79,,
-1.8,,67,,28,100.58,,
-1.9,,58,,31,100.35,,
-1.5,,57,,22,100.21,,
-1.5,,60,,20,100.05,,
-0.7,,57,,29,99.96,,
-1.2,,66,,32,99.91,,
-1.3,,70,,31,99.79,,
-1.5,,82,,31,99.68,,
-1.4,,87,,30,99.58,,
-5.2,,78,,36,99.78,,
-8.2,,63,,34,99.97,,
-11.3,,61,,33,100.26,,
-14.7,,55,,36,100.51,,
-16.4,,54,,19,100.72,,
-17.5,,52,,27,100.85,,
-18.5,,53,,20,100.97,,
-20.1,,49,,22,101.08,,
-22,,48,,34,101.21,,
-23.5,,49,,29,101.33,,
-24.9,,50,,32,101.48,,
-25.8,,50,,31,101.58,,
-26.5,,49,,32,101.69,,
-26.3,,48,,28,101.75,,
-26.4,,46,,31,101.76,,
-26.1,,46,,30,101.76,,
-25.9,,47,,31,101.82,,
-26.2,,46,,32,101.91,,
-26.3,,44,,31,102.02,,
-26,,45,,29,102.15,,
-26.1,,47,,28,102.26,,
-26.1,,46,,28,102.36,,
-26.2,,50,,24,102.43,,
-26.2,,49,,28,102.47,,
-26.9,,45,,33,102.55,,
-27.3,,46,,25,102.61,,
-27.3,,46,,28,102.68,,
-27.6,,52,,22,102.74,,
-27.9,,54,,19,102.86,,
-28.1,,54,,18,102.94,,
-28.5,,53,,22,102.95,,
-28.9,,54,,19,103.03,,
-28.9,,56,,20,103.08,,
-28.8,,56,,22,103.11,,
-28.4,,55,,15,103.18,,
-27.3,,52,,18,103.17,,
-25.9,,49,,20,103.17,,
-24.6,,45,,19,103.11,,
-23.7,,44,,17,103.01,,
-22.8,,41,,16,102.88,,
-21.9,,52,,14,102.78,,
-20.8,,46,,11,102.71,,
-20.3,,48,,7,102.63,,
-19.8,,49,,7,102.55,,
-19.4,,52,,9,102.42,,
-18.3,,63,,5,102.33,,
-16.8,,67,,7,102.2,,
-15.5,,65,,11,102.09,,
-14.5,,61,,13,102.02,,
-14.2,,59,,9,101.93,,
-17.2,,71,,11,101.8,,
-17.8,,76,,13,101.67,,
-17.8,,77,,16,101.58,,
-17.8,,79,,17,101.5,,
-17.9,,80,,17,101.44,,
-17.7,,79,,20,101.35,,
-17.1,,80,,15,101.29,,
-17,,81,,17,101.23,,
-16.1,,81,,14,101.2,,
-15.5,,82,,13,101.15,,
-14.4,,82,,13,101.07,,
-13,,80,,12,100.99,,
-12.3,,79,,16,100.89,,
-11.6,,80,,18,100.78,,
-10.7,,77,,17,100.7,,
-10.2,,78,,16,100.68,,
-9.8,,79,,16,100.66,,
-9.8,,81,,17,100.71,,
-9.5,,80,,16,100.77,,
-9,,88,,9,100.79,,
-8.6,,88,,9,100.81,,
-8.3,,88,,8,100.82,,
-8.2,,87,,7,100.83,,
-8.1,,87,,8,100.83,,
-7.6,,87,,4,100.85,,
-7.3,,86,,6,100.88,,
-7.1,,86,,9,100.95,,
-6.9,,86,,9,101.03,,
-6.7,,87,,4,101.07,,
-6.7,,88,,8,101.18,,
-6.6,,87,,12,101.3,,
-6.3,,87,,11,101.48,,
-6.8,,84,,8,101.63,,
-6.6,,80,,4,101.8,,
-5.2,,72,,11,101.95,,
-4.9,,68,,16,102.05,,
-4.4,,61,,13,102.09,,
-4,,58,,8,102.1,,
-3.5,,54,,6,102.1,,
-3.4,,52,,4,102.17,,
-3.6,,54,,7,102.22,,
-4.1,,54,,8,102.24,,
-5,,56,,8,102.29,,
-9.3,,70,,4,102.37,,
-9.6,,71,,0,102.41,,
-9.7,,76,,3,102.43,,
-12.8,,75,,4,102.49,,
-11.2,,86,,5,102.53,,
-9.5,,73,,7,102.51,,
-9.6,,71,,3,102.49,,
-10.2,,75,,10,102.52,,
-10.1,,81,,9,102.46,,
-11.1,,82,,7,102.43,,
