Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
3.9,,99,,14,99.93,,
3.7,,99,,8,99.94,,
3.6,,99,,7,99.95,,
3.4,,99,,8,99.97,,
4.1,,99,,7,100.06,,
4,,99,,12,100.1,,
3.9,,99,,10,100.22,,
3.2,,98,,12,100.32,,
3.5,,97,,8,100.38,,
3.4,,97,,14,100.49,,
3.6,,96,,12,100.61,,
3.2,,96,,15,100.62,,
3.1,,96,,16,100.6,,
3.2,,95,,16,100.59,,
3.2,,93,,19,100.65,,
3.3,,92,,16,100.73,,
3,,91,,15,100.8,,
2.8,,89,,12,100.88,,
2.2,,85,,12,100.93,,
1.8,,86,,12,100.97,,
1.7,,88,,10,101.04,,
1.6,,89,,9,101.05,,
1.4,,88,,8,101.08,,
1.3,,89,,7,101.1,,
1.1,,88,,6,101.07,,
0.7,,88,,6,101.09,,
0.7,,85,,3,101.15,,
0.8,,89,,0,101.16,,
0.9,,87,,4,101.18,,
0.7,,93,,5,101.2,,
0.6,,94,,5,101.17,,
0.8,,95,,7,101.2,,
0.8,,96,,6,101.23,,
1.2,,97,,5,101.24,,
1.7,,98,,7,101.27,,
2.2,,98,,6,101.27,,
3.3,,93,,12,101.23,,
4.1,,91,,13,101.22,,
4,,87,,11,101.26,,
4,,83,,13,101.31,,
3.7,,81,,12,101.37,,
3.6,,79,,14,101.44,,
3.4,,79,,11,101.49,,
3.3,,78,,10,101.55,,
3.2,,79,,9,101.6,,
2.5,,83,,12,101.6,,
2.7,,82,,7,101.6,,
2.9,,83,,7,101.61,,
2.3,,86,,8,101.57,,
2.3,,86,,7,101.56,,
1.8,,88,,5,101.51,,
1.7,,89,,3,101.52,,
2.2,,85,,6,101.53,,
1.7,,86,,3,101.45,,
1.6,,86,,5,101.44,,
1.6,,85,,0,101.45,,
1.5,,87,,3,101.47,,
2.1,,81,,0,101.39,,
2.8,,80,,5,101.35,,
2.7,,81,,12,101.17,,
2.7,,81,,7,101.07,,
3.3,,75,,8,100.94,,
4.3,,70,,7,100.81,,
4.6,,62,,6,100.72,,
3.5,,75,,11,100.71,,
2.8,,79,,12,100.68,,
2.9,,78,,12,100.68,,
2.4,,82,,11,100.69,,
2.2,,84,,12,100.68,,
1.6,,87,,11,100.64,,
1.6,,88,,12,100.64,,
1.4,,89,,12,100.68,,
1.3,,90,,11,100.65,,
1.3,,89,,16,100.62,,
1.5,,88,,9,100.62,,
1.3,,90,,14,100.63,,
1.2,,92,,18,100.7,,
1.2,,93,,14,100.73,,
1.5,,91,,9,100.77,,
1.2,,94,,10,100.87,,
1.7,,91,,9,100.85,,
1.9,,89,,11,100.94,,
2.3,,83,,15,101.07,,
2.2,,80,,13,101.19,,
2.7,,75,,13,101.08,,
2.8,,72,,12,101.1,,
2.9,,69,,12,101.05,,
2.8,,70,,15,101.13,,
2.7,,68,,16,101.15,,
2.4,,68,,20,101.14,,
2.3,,66,,17,101.22,,
1.8,,68,,26,101.19,,
0.5,,77,,23,101.19,,
-1.2,,69,,31,101.12,,
-1.9,,73,,30,101.07,,
-2.6,,85,,33,101.11,,
-3.7,,90,,28,100.99,,
-3.3,,90,,22,100.97,,
-3.2,,88,,30,100.91,,
-3,,91,,21,100.83,,
-2.9,,90,,20,100.83,,
-2.8,,92,,18,100.74,,
-2.9,,93,,11,100.87,,
-3,,93,,11,100.96,,
-3.3,,94,,8,101,,
-3.4,,95,,8,101.06,,
-3.7,,94,,9,101.08,,
-4.1,,93,,10,101.1,,
-4.2,,93,,6,101.14,,
-4.7,,95,,7,101.14,,
-4.6,,95,,6,101.11,,
-4.8,,95,,7,101.18,,
-4.5,,94,,6,101.2,,
-4.3,,94,,5,101.24,,
-4.4,,94,,6,101.25,,
-4.3,,93,,5,101.28,,
-4,,92,,4,101.25,,
