Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
23.3,,73,,10,101.06,,
22,,79,,11,101.03,,
20.3,,84,,8,101.02,,
19.8,,83,,6,101,,
20.1,,82,,11,100.98,,
20.3,,80,,12,101.01,,
20.9,,77,,13,101.01,,
22.7,,70,,11,100.99,,
23.6,,70,,13,100.99,,
23.7,,69,,13,101.02,,
21.9,,82,,10,100.99,,
21.4,,91,,9,100.98,,
23.6,,85,,10,100.86,,
24.5,,81,,7,100.87,,
23.6,,80,,21,100.82,,
23.9,,76,,21,100.74,,
24.6,,73,,15,100.72,,
23.6,,82,,10,100.67,,
21.9,,93,,9,100.82,,
21.2,,97,,14,100.79,,
21.1,,95,,16,100.72,,
21,,94,,13,100.72,,
20.3,,92,,23,100.76,,
20,,95,,18,100.68,,
20.3,,96,,15,100.66,,
20.3,,97,,13,100.64,,
20.3,,97,,15,100.62,,
20.1,,96,,5,100.55,,
20,,96,,6,100.58,,
20,,96,,12,100.58,,
20.6,,93,,6,100.59,,
21.2,,93,,12,100.6,,
21.6,,89,,11,100.6,,
22.8,,84,,7,100.58,,
24,,82,,7,100.6,,
24.5,,77,,5,100.6,,
25.8,,72,,11,100.58,,
25.9,,76,,16,100.55,,
24.6,,76,,16,100.55,,
24.3,,76,,20,100.52,,
23.5,,77,,17,100.51,,
22.8,,79,,15,100.5,,
22.3,,81,,14,100.51,,
22,,83,,12,100.54,,
21.8,,85,,13,100.55,,
21.5,,87,,11,100.56,,
21.4,,87,,10,100.53,,
21.1,,89,,9,100.55,,
20.8,,91,,4,100.54,,
21.1,,89,,10,100.53,,
20.9,,88,,5,100.52,,
20.8,,88,,3,100.51,,
20.5,,89,,5,100.55,,
20.9,,87,,4,100.58,,
21.4,,87,,0,100.61,,
22.4,,82,,6,100.63,,
23.3,,78,,7,100.64,,
24.2,,75,,3,100.66,,
24.5,,71,,8,100.66,,
25.3,,70,,0,100.67,,
25.8,,69,,4,100.65,,
26.4,,67,,4,100.63,,
26.4,,63,,4,100.6,,
27.3,,60,,9,100.61,,
27.3,,61,,6,100.55,,
27.2,,58,,7,100.54,,
27.1,,61,,7,100.59,,
26.6,,62,,6,100.63,,
25.3,,67,,6,100.65,,
24.5,,71,,5,100.67,,
22.6,,80,,4,100.69,,
23,,81,,5,100.73,,
22.6,,85,,3,100.75,,
22.2,,89,,3,100.73,,
21.8,,93,,3,100.74,,
21,,96,,0,100.76,,
19.9,,95,,4,100.76,,
20.6,,97,,6,100.78,,
22.4,,91,,0,100.84,,
24.3,,84,,0,100.85,,
25.2,,79,,4,100.89,,
26.3,,70,,3,100.9,,
27.3,,71,,6,100.88,,
27.1,,70,,15,100.87,,
27.7,,66,,14,100.84,,
24.3,,71,,7,100.82,,
25.4,,69,,6,100.82,,
26.3,,76,,10,100.85,,
27,,67,,14,100.77,,
27.5,,60,,8,100.77,,
27.4,,58,,3,100.81,,
26.3,,62,,10,100.83,,
25.1,,68,,9,100.88,,
22.9,,77,,3,100.92,,
22.2,,83,,4,100.91,,
20.9,,88,,4,100.89,,
21.5,,88,,4,100.93,,
21.5,,87,,3,100.94,,
20.8,,89,,6,100.96,,
20.6,,89,,6,100.93,,
20.7,,94,,6,100.94,,
21.1,,93,,7,100.98,,
22.1,,87,,8,101.01,,
23.1,,82,,10,101,,
24,,80,,9,101.02,,
25,,78,,11,100.99,,
25.8,,74,,11,100.98,,
27,,72,,13,101,,
28.4,,66,,11,101,,
29.3,,65,,11,100.96,,
29.6,,63,,11,100.91,,
29.6,,66,,14,100.88,,
29.3,,69,,12,100.86,,
29.3,,70,,8,100.85,,
30.6,,64,,4,100.84,,
29.4,,70,,8,100.83,,
28.4,,70,,9,100.85,,
27.5,,79,,13,100.88,,
26.8,,81,,10,100.87,,
25.6,,84,,6,100.86,,
25.6,,82,,6,100.9,,
25.6,,72,,9,100.92,,
24.8,,74,,8,100.91,,
23.8,,78,,8,100.91,,
23.4,,79,,8,100.93,,
22.8,,79,,7,100.94,,
23.9,,72,,8,100.94,,
24.4,,72,,9,100.92,,
25.8,,69,,11,100.92,,
27.4,,65,,11,100.87,,
27.9,,60,,15,100.85,,
29.1,,57,,13,100.82,,
30.3,,51,,12,100.79,,
31.3,,43,,11,100.71,,
31.6,,41,,10,100.62,,
32.1,,43,,8,100.57,,
32.1,,44,,8,100.54,,
31,,45,,12,100.51,,
30.7,,49,,7,100.48,,
30.2,,52,,15,100.49,,
28.8,,53,,13,100.48,,
24.8,,71,,10,100.53,,
24.3,,73,,6,100.49,,
23.1,,77,,5,100.47,,
23.6,,76,,8,100.45,,
23.2,,80,,10,100.47,,
23,,81,,5,100.46,,
23.5,,78,,10,100.46,,
23,,83,,12,100.48,,
23.1,,81,,6,100.5,,
24.1,,78,,6,100.58,,
23.7,,77,,11,100.59,,
23.1,,81,,13,100.66,,
23.1,,79,,10,100.68,,
23.2,,82,,7,100.64,,
24,,80,,12,100.62,,
25.3,,77,,14,100.6,,
26,,71,,14,100.55,,
25.9,,76,,14,100.53,,
27,,73,,12,100.55,,
27.2,,69,,15,100.56,,
26,,75,,16,100.56,,
25.5,,76,,17,100.58,,
25.6,,75,,14,100.57,,
25.6,,73,,8,100.59,,
23.3,,86,,10,100.61,,
22.4,,88,,6,100.61,,
21.8,,90,,9,100.6,,
21.6,,91,,5,100.61,,
21.2,,93,,5,100.61,,
21.8,,93,,9,100.65,,
22,,90,,9,100.63,,
21.5,,93,,11,100.65,,
21.4,,93,,7,100.69,,
22,,87,,7,100.7,,
23.2,,83,,7,100.73,,
24.2,,79,,9,100.73,,
25.1,,76,,7,100.7,,
25.7,,69,,11,100.69,,
26.4,,64,,12,100.7,,
27.3,,56,,16,100.66,,
27.8,,52,,17,100.62,,
27.8,,51,,15,100.57,,
28.3,,53,,13,100.54,,
28,,47,,12,100.49,,
28.5,,46,,15,100.44,,
28,,48,,11,100.45,,
