Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
21.6,,55,,5,101.38,,
20.5,,57,,7,101.37,,
20.2,,60,,11,101.38,,
19.6,,65,,9,101.39,,
19.3,,68,,8,101.43,,
19.1,,70,,5,101.44,,
20,,65,,10,101.44,,
21.5,,60,,9,101.46,,
23.9,,53,,8,101.48,,
25.6,,50,,11,101.45,,
27.7,,44,,10,101.45,,
30,,42,,10,101.43,,
30.7,,40,,13,101.36,,
32.2,,37,,11,101.26,,
33.5,,28,,14,101.19,,
33.7,,21,,13,101.13,,
34,,21,,7,101.1,,
33.7,,25,,9,101.09,,
25.4,,59,,33,101.25,,
25,,56,,29,101.24,,
25,,58,,8,101.13,,
22,,74,,12,101.23,,
21.7,,77,,7,101.24,,
21.5,,79,,8,101.26,,
19,,89,,5,101.25,,
19.4,,88,,4,101.21,,
19,,86,,3,101.17,,
17.6,,90,,0,101.12,,
18.3,,85,,5,101.1,,
18.4,,83,,3,101.11,,
19.8,,86,,4,101.16,,
22.7,,70,,8,101.19,,
24.3,,61,,10,101.18,,
26.9,,48,,8,101.15,,
28.3,,42,,7,101.13,,
29.5,,40,,13,101.1,,
30.4,,40,,8,101.03,,
31.6,,36,,9,100.95,,
29.7,,41,,10,100.92,,
24.7,,62,,16,100.91,,
25.5,,62,,12,100.84,,
26.5,,55,,9,100.82,,
27,,51,,10,100.84,,
23.5,,50,,31,101.04,,
19.1,,58,,31,101.24,,
16.2,,65,,36,101.39,,
14.8,,67,,35,101.46,,
14.2,,69,,33,101.5,,
14,,69,,26,101.51,,
13.4,,69,,29,101.53,,
13,,70,,30,101.57,,
12.7,,71,,28,101.56,,
11.9,,73,,30,101.61,,
11.5,,75,,28,101.7,,
12.2,,72,,36,101.75,,
13.3,,65,,33,101.8,,
13.5,,60,,36,101.87,,
14.1,,56,,36,101.9,,
15.7,,50,,35,101.9,,
16.4,,42,,32,101.92,,
17.8,,37,,29,101.92,,
18.6,,34,,30,101.88,,
18.5,,23,,29,101.86,,
19.3,,25,,24,101.82,,
20.3,,28,,20,101.77,,
19.9,,30,,21,101.74,,
19.6,,28,,18,101.75,,
18.4,,25,,17,101.78,,
16.5,,26,,16,101.85,,
15.3,,19,,23,101.91,,
14.1,,27,,16,101.89,,
13.4,,27,,14,101.87,,
12.8,,28,,12,101.82,,
12.5,,27,,17,101.78,,
9.9,,43,,14,101.75,,
8.9,,51,,10,101.74,,
8.9,,54,,12,101.73,,
8.5,,62,,10,101.74,,
10.2,,58,,20,101.74,,
11.5,,55,,21,101.79,,
13.3,,46,,23,101.74,,
14.2,,42,,27,101.74,,
16.2,,40,,26,101.71,,
16.9,,44,,28,101.69,,
16.9,,44,,26,101.61,,
18.2,,45,,26,101.55,,
19,,47,,26,101.5,,
19.2,,44,,26,101.48,,
19,,45,,25,101.45,,
19.4,,43,,22,101.41,,
19.2,,43,,20,101.4,,
18.9,,45,,11,101.38,,
17.9,,46,,11,101.38,,
17.2,,50,,8,101.37,,
16.1,,56,,6,101.35,,
15.4,,59,,6,101.34,,
12.5,,68,,4,101.28,,
14.4,,64,,6,101.26,,
11,,81,,6,101.23,,
10.7,,78,,8,101.17,,
10.6,,81,,8,101.15,,
10.6,,82,,7,101.18,,
12.9,,72,,5,101.15,,
13.1,,73,,6,101.14,,
15.6,,64,,5,101.12,,
16.6,,59,,6,101.07,,
17.2,,57,,10,101,,
18.8,,52,,7,100.91,,
19.7,,43,,9,100.84,,
21.1,,32,,10,100.76,,
21.9,,31,,12,100.69,,
22.3,,31,,7,100.65,,
22.5,,30,,7,100.58,,
21.3,,41,,16,100.58,,
20,,43,,13,100.52,,
19.5,,46,,14,100.47,,
19.1,,47,,12,100.48,,
18,,53,,9,100.47,,
18.4,,56,,9,100.41,,
17.7,,59,,4,100.36,,
14.2,,70,,6,100.3,,
13.1,,75,,8,100.26,,
15.5,,59,,17,100.24,,
15.5,,60,,15,100.18,,
14.6,,64,,13,100.19,,
13,,69,,10,100.24,,
14.3,,65,,6,100.25,,
14.9,,62,,11,100.25,,
16,,56,,14,100.23,,
16.6,,56,,18,100.21,,
17.6,,50,,19,100.18,,
18.2,,50,,13,100.15,,
19.2,,45,,16,100.09,,
19.6,,44,,10,100.02,,
19.7,,43,,21,99.98,,
19.5,,43,,23,99.94,,
20.5,,41,,25,99.92,,
16.9,,54,,33,99.96,,
15.7,,63,,20,99.97,,
16.4,,53,,18,100.03,,
14.4,,77,,10,100.01,,
14.1,,75,,11,100.02,,
13.2,,79,,9,99.99,,
13.7,,75,,12,99.97,,
13.5,,76,,12,99.93,,
12.4,,79,,12,99.9,,
12.2,,85,,13,99.85,,
11.8,,84,,11,99.81,,
11.8,,85,,13,99.81,,
11.4,,87,,13,99.81,,
11.8,,87,,12,99.81,,
12.3,,83,,12,99.82,,
13,,80,,14,99.8,,
13.6,,68,,18,99.78,,
14.9,,60,,17,99.77,,
15.2,,59,,17,99.78,,
15.2,,57,,22,99.78,,
15.9,,55,,20,99.8,,
15.2,,60,,19,99.83,,
15.7,,56,,22,99.86,,
14.1,,72,,15,99.91,,
13.6,,76,,12,99.94,,
13.8,,72,,17,99.96,,
13,,71,,14,100.02,,
12.3,,82,,12,100.06,,
11.7,,88,,4,100.06,,
11.9,,89,,6,100.06,,
11.5,,89,,7,100.1,,
11.6,,85,,9,100.1,,
10.8,,88,,9,100.1,,
10.5,,88,,5,100.12,,
10.3,,92,,4,100.12,,
10.6,,94,,6,100.14,,
10.7,,89,,12,100.18,,
11.6,,90,,9,100.21,,
12.5,,85,,11,100.26,,
12.5,,82,,16,100.28,,
11.6,,91,,16,100.32,,
13,,84,,13,100.3,,
14.7,,78,,12,100.31,,
15.3,,73,,14,100.3,,
16.8,,63,,21,100.25,,
17.2,,58,,18,100.22,,
17.1,,59,,17,100.21,,
17.9,,54,,20,100.2,,
16.8,,59,,18,100.21,,
17.1,,55,,18,100.25,,
16.4,,61,,15,100.29,,
15.6,,65,,18,100.32,,
15.2,,71,,15,100.35,,
14.7,,74,,17,100.37,,
13.7,,74,,15,100.35,,
13.3,,75,,11,100.34,,
12.5,,77,,14,100.33,,
12,,79,,14,100.34,,
11.6,,81,,15,100.34,,
11.5,,82,,9,100.36,,
12,,83,,11,100.39,,
12.2,,83,,10,100.41,,
12.7,,81,,10,100.41,,
13.3,,79,,9,100.42,,
14.2,,77,,9,100.43,,
14.1,,77,,12,100.42,,
16.1,,68,,9,100.36,,
15.7,,68,,11,100.33,,
17.4,,53,,12,100.28,,
18.4,,53,,8,100.23,,
18,,51,,8,100.22,,
17.7,,54,,5,100.21,,
17.9,,56,,4,100.2,,
17.6,,56,,6,100.22,,
16.5,,61,,6,100.27,,
16.3,,61,,6,100.29,,
15.2,,76,,3,100.32,,
14.9,,75,,7,100.3,,
14.3,,78,,5,100.29,,
12.9,,86,,5,100.26,,
13.3,,84,,4,100.25,,
13.5,,83,,9,100.23,,
13,,85,,6,100.22,,
12.5,,87,,8,100.23,,
12.7,,88,,6,100.27,,
13.6,,86,,6,100.31,,
14.1,,81,,5,100.34,,
15.1,,79,,3,100.38,,
16.1,,74,,4,100.39,,
17.4,,70,,11,100.36,,
18.2,,64,,13,100.32,,
17.3,,65,,19,100.32,,
20.7,,45,,3,100.27,,
22.2,,43,,8,100.25,,
22.3,,43,,9,100.23,,
21.7,,44,,14,100.26,,
22,,42,,8,100.28,,
21.4,,44,,10,100.31,,
21,,45,,12,100.34,,
20.6,,48,,10,100.39,,
19.7,,54,,8,100.44,,
18.7,,62,,7,100.47,,
17.9,,66,,9,100.47,,
17,,72,,5,100.46,,
14.9,,80,,6,100.46,,
14.5,,84,,4,100.47,,
15.1,,76,,6,100.51,,
15.1,,77,,6,100.58,,
15.5,,76,,8,100.65,,
15.2,,82,,6,100.68,,
16,,78,,6,100.72,,
18.2,,67,,5,100.75,,
19.8,,61,,8,100.75,,
21.9,,49,,9,100.73,,
23.9,,46,,9,100.71,,
24.7,,41,,9,100.65,,
25.4,,38,,8,100.61,,
25.7,,38,,8,100.6,,
25.7,,38,,13,100.57,,
25.4,,38,,10,100.56,,
25.5,,38,,8,100.57,,
25.1,,38,,7,100.6,,
