Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
10.4,,82,,20,98.66,,
10.1,,87,,24,98.47,,
10.2,,89,,24,98.25,,
9.8,,91,,25,98.02,,
10.3,,89,,24,97.88,,
10.6,,88,,22,97.74,,
11.8,,85,,10,97.72,,
11.7,,91,,12,97.73,,
9.9,,93,,24,97.79,,
8.8,,92,,24,97.89,,
8.6,,90,,24,97.98,,
8.4,,84,,29,98.1,,
7.9,,86,,31,98.28,,
8,,81,,27,98.36,,
9.8,,74,,21,98.5,,
10.5,,72,,14,98.59,,
10.9,,67,,17,98.69,,
11.2,,69,,13,98.77,,
10.8,,67,,17,98.8,,
10,,70,,18,98.87,,
9.6,,74,,17,98.94,,
8.7,,77,,17,99,,
7.8,,84,,19,99.03,,
7.6,,86,,17,99.06,,
7.5,,84,,15,99.06,,
6.8,,86,,16,99.03,,
6.6,,86,,11,99,,
6.4,,86,,17,99.02,,
6.4,,86,,12,99.04,,
6.5,,84,,6,99.06,,
7.1,,83,,4,99.1,,
7.9,,79,,7,99.08,,
8.7,,80,,15,99.03,,
11.1,,64,,10,99,,
12.2,,58,,13,98.98,,
8.3,,91,,27,99.01,,
7.8,,92,,13,99.03,,
9.8,,84,,14,99.03,,
11.4,,68,,18,99.02,,
12.4,,64,,11,99.01,,
13.4,,56,,11,99.02,,
12.8,,58,,10,99.08,,
12.8,,57,,5,99.13,,
11.3,,67,,14,99.18,,
10.4,,76,,17,99.23,,
10,,87,,10,99.27,,
9.7,,85,,12,99.27,,
9.5,,87,,11,99.3,,
9.5,,87,,13,99.31,,
9.6,,88,,16,99.29,,
9.4,,90,,15,99.29,,
9,,89,,19,99.31,,
8.4,,90,,23,99.33,,
8.3,,89,,21,99.39,,
7.7,,92,,24,99.45,,
7.9,,88,,25,99.5,,
8,,86,,24,99.56,,
8.7,,81,,30,99.59,,
8.4,,83,,32,99.67,,
8.4,,79,,33,99.71,,
8.9,,80,,30,99.75,,
9.1,,82,,26,99.8,,
9,,81,,28,99.83,,
9.5,,79,,28,99.87,,
9.2,,77,,30,99.94,,
8.5,,83,,28,100.03,,
8.7,,79,,24,100.09,,
8.4,,80,,22,100.19,,
8.2,,79,,27,100.28,,
7.8,,82,,20,100.37,,
7.2,,86,,21,100.4,,
6.9,,88,,18,100.45,,
6.7,,89,,23,100.47,,
6.4,,89,,21,100.49,,
6.3,,87,,23,100.54,,
6.3,,85,,24,100.59,,
6,,85,,22,100.66,,
5.9,,84,,22,100.74,,
6,,81,,21,100.82,,
6.3,,78,,20,100.9,,
7,,74,,24,100.97,,
7.4,,72,,22,101.01,,
8.3,,71,,20,101.07,,
8.1,,69,,20,101.14,,
8.9,,69,,18,101.17,,
9.3,,64,,19,101.2,,
10.6,,56,,21,101.2,,
11.4,,57,,14,101.21,,
11.8,,58,,17,101.25,,
12,,58,,16,101.3,,
12,,58,,14,101.34,,
11.5,,64,,17,101.38,,
11.1,,63,,12,101.45,,
10.6,,65,,10,101.53,,
10.4,,66,,16,101.57,,
9.7,,70,,15,101.62,,
8.9,,73,,16,101.66,,
8.4,,76,,17,101.7,,
7.8,,78,,19,101.74,,
7.4,,80,,15,101.77,,
7.1,,83,,10,101.83,,
6.6,,83,,13,101.89,,
7.4,,84,,13,101.96,,
9.5,,76,,16,102.01,,
10.6,,73,,17,102.06,,
11,,67,,14,102.09,,
12.5,,59,,14,102.1,,
13.6,,59,,14,102.1,,
14.3,,56,,10,102.07,,
15.3,,52,,10,102.04,,
16.3,,45,,6,101.98,,
17.1,,47,,6,101.95,,
17,,36,,5,101.92,,
16,,45,,5,101.9,,
17,,42,,11,101.89,,
16.1,,44,,11,101.89,,
14.2,,53,,6,101.92,,
12.7,,56,,8,101.92,,
12.5,,64,,11,101.9,,
12.2,,65,,11,101.91,,
10.2,,69,,8,101.91,,
10.3,,70,,0,101.91,,
8.9,,81,,6,101.91,,
8.5,,81,,5,101.93,,
8.6,,81,,8,101.93,,
8.3,,80,,7,101.96,,
8.9,,79,,9,102,,
10.9,,71,,10,102,,
13.9,,59,,9,101.97,,
16.2,,50,,11,101.92,,
18,,47,,17,101.85,,
20.3,,37,,13,101.77,,
21,,28,,18,101.69,,
21.6,,33,,17,101.62,,
22.8,,29,,18,101.55,,
22.5,,28,,21,101.49,,
22.6,,26,,22,101.44,,
22.6,,24,,18,101.37,,
21.8,,26,,15,101.33,,
19.6,,29,,12,101.35,,
18.2,,34,,12,101.38,,
18.1,,36,,13,101.39,,
17.2,,39,,12,101.36,,
15.6,,45,,10,101.34,,
14.8,,50,,11,101.36,,
13.3,,60,,9,101.35,,
12.2,,66,,9,101.34,,
11.4,,68,,12,101.31,,
10.7,,71,,9,101.3,,
10.3,,73,,10,101.29,,
10.5,,73,,12,101.26,,
12,,67,,12,101.21,,
14.3,,58,,13,101.14,,
15.7,,53,,13,101.09,,
17.3,,48,,13,101.03,,
19.3,,42,,22,100.92,,
21.3,,39,,18,100.8,,
22.2,,29,,23,100.69,,
22.2,,27,,25,100.6,,
22.1,,27,,22,100.49,,
21.5,,27,,24,100.42,,
21.1,,28,,23,100.36,,
20.1,,31,,17,100.33,,
19.3,,33,,15,100.31,,
17.4,,41,,12,100.34,,
16.7,,45,,12,100.36,,
15.6,,50,,12,100.37,,
13.6,,57,,9,100.36,,
13.5,,59,,10,100.36,,
11.8,,62,,8,100.38,,
9.3,,66,,6,100.38,,
9.2,,60,,9,100.37,,
9.3,,57,,8,100.41,,
10.5,,45,,21,100.45,,
11.1,,43,,19,100.56,,
11.5,,38,,23,100.69,,
12.5,,36,,24,100.68,,
13.1,,34,,19,100.67,,
14.2,,31,,16,100.67,,
14.2,,32,,13,100.7,,
15.5,,34,,10,100.68,,
16.4,,31,,16,100.65,,
16.7,,25,,15,100.6,,
16.8,,24,,27,100.57,,
16.6,,23,,20,100.58,,
15.8,,22,,24,100.61,,
15,,22,,23,100.67,,
13.6,,22,,23,100.76,,
12.4,,26,,20,100.86,,
11.6,,30,,16,100.93,,
10.6,,33,,15,100.96,,
9,,38,,11,101.01,,
8.2,,41,,16,101.05,,
7.3,,44,,13,101.05,,
6.5,,48,,11,101.07,,
7.5,,43,,4,101.11,,
5.8,,49,,5,101.15,,
5.9,,50,,6,101.23,,
7.5,,45,,8,101.28,,
9.3,,40,,15,101.33,,
10.5,,37,,14,101.37,,
12,,36,,11,101.38,,
12,,32,,8,101.39,,
12.6,,30,,14,101.37,,
13.1,,26,,12,101.37,,
14.2,,27,,11,101.35,,
14.5,,27,,20,101.32,,
15.3,,24,,11,101.26,,
15.8,,27,,21,101.22,,
15.8,,27,,17,101.24,,
15.7,,25,,13,101.24,,
15.1,,25,,7,101.26,,
11,,45,,5,101.32,,
9.3,,50,,8,101.35,,
9,,45,,7,101.37,,
11,,34,,5,101.41,,
8.2,,48,,3,101.43,,
7.9,,47,,0,101.42,,
8.7,,64,,7,101.43,,
8.7,,66,,9,101.46,,
8.3,,62,,15,101.46,,
7.4,,67,,11,101.49,,
8.2,,65,,12,101.53,,
9.8,,57,,10,101.55,,
11.6,,55,,10,101.54,,
13.9,,49,,13,101.53,,
17.2,,35,,19,101.46,,
18.9,,27,,21,101.37,,
19.9,,27,,20,101.26,,
21,,25,,23,101.18,,
21.8,,27,,22,101.07,,
22.4,,25,,26,101,,
22.7,,26,,26,100.96,,
22.6,,26,,25,100.94,,
22.1,,27,,24,100.92,,
20.3,,34,,17,100.96,,
18.6,,39,,23,101.02,,
17.1,,43,,20,101.06,,
16.2,,44,,16,101.07,,
14.7,,47,,15,101.1,,
