Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
0,,71,,18,100.95,,
-1,,71,,25,101.05,,
-1.3,,72,,19,101.13,,
-1.4,,73,,13,101.21,,
-1.6,,73,,13,101.29,,
-2.1,,75,,8,101.38,,
-2,,77,,9,101.43,,
-2.5,,77,,8,101.49,,
-2,,75,,7,101.52,,
-1.8,,72,,7,101.53,,
0,,70,,8,101.52,,
-0.2,,72,,9,101.52,,
0.2,,72,,9,101.46,,
1.1,,65,,7,101.38,,
1.3,,62,,6,101.3,,
1.9,,56,,3,101.21,,
2.2,,58,,7,101.13,,
1.8,,65,,9,101.18,,
1.8,,67,,7,101.19,,
1.8,,66,,9,101.14,,
2.1,,60,,11,101,,
1.1,,67,,15,101.03,,
1.1,,80,,11,100.93,,
0.8,,83,,9,100.84,,
0.7,,80,,12,100.74,,
0.8,,79,,10,100.63,,
0.7,,79,,10,100.52,,
0,,79,,16,100.36,,
-0.3,,79,,15,100.31,,
-0.6,,85,,17,100.21,,
-0.7,,91,,17,100.13,,
-0.8,,93,,17,100.11,,
-1.3,,93,,20,100.08,,
-1.5,,93,,23,100.01,,
-1.6,,91,,23,99.96,,
-1.5,,92,,22,99.92,,
-1.1,,88,,19,99.94,,
-0.5,,88,,14,99.93,,
0.3,,88,,11,100,,
0.7,,91,,10,100.08,,
0.7,,93,,9,100.15,,
1,,93,,14,100.29,,
1.3,,89,,11,100.42,,
1.1,,88,,11,100.53,,
1.1,,77,,16,100.62,,
-0.2,,76,,15,100.68,,
-1.2,,78,,13,100.78,,
-2,,71,,14,100.91,,
-3,,64,,16,101,,
-4.6,,61,,15,101.13,,
-5.8,,64,,13,101.25,,
-6.9,,68,,9,101.28,,
-7.6,,66,,12,101.41,,
-8.7,,69,,11,101.51,,
-9.1,,66,,10,101.6,,
-9.9,,67,,5,101.69,,
-7.9,,55,,14,101.66,,
-7.3,,56,,11,101.76,,
-6.6,,55,,8,101.8,,
-5.9,,51,,9,101.81,,
-5.4,,48,,9,101.75,,
-4.3,,47,,6,101.71,,
-4,,45,,7,101.54,,
-2.6,,48,,12,101.42,,
-3.1,,43,,12,101.46,,
-3.7,,46,,8,101.31,,
-4.8,,54,,17,101.18,,
-5.4,,50,,16,101.13,,
-5.3,,51,,18,100.99,,
-5.6,,56,,17,100.86,,
-5.8,,59,,22,100.63,,
-5.6,,60,,17,100.63,,
-5.6,,60,,20,100.52,,
-6,,81,,8,100.57,,
-5.7,,91,,17,100.34,,
-6.1,,89,,23,100.17,,
-6.5,,86,,24,100.12,,
-6.3,,89,,23,100.1,,
-5.5,,90,,21,100.07,,
-5.2,,93,,22,100.04,,
-4.1,,91,,21,100.08,,
-3.3,,90,,23,100.12,,
-3.3,,90,,25,100.15,,
-3,,87,,22,100.21,,
-2.8,,89,,23,100.27,,
-2.1,,86,,20,100.32,,
-1.7,,85,,16,100.4,,
-1.4,,86,,15,100.47,,
-1.3,,88,,14,100.59,,
-1.2,,90,,14,100.68,,
-1.4,,93,,9,100.81,,
-1.8,,93,,9,100.9,,
-2,,93,,11,100.98,,
-2,,93,,7,101.06,,
-1.9,,92,,5,101.11,,
-2,,92,,5,101.19,,
-1.7,,92,,7,101.23,,
-1.7,,91,,6,101.23,,
-2,,92,,6,101.24,,
-2,,93,,4,101.27,,
-1.6,,89,,11,101.31,,
-2.7,,90,,7,101.32,,
-2.7,,93,,4,101.36,,
-2.5,,93,,3,101.41,,
-1.4,,89,,5,101.47,,
-0.4,,84,,6,101.47,,
-0.1,,83,,10,101.46,,
0.4,,81,,15,101.46,,
1.3,,78,,14,101.43,,
3.1,,62,,17,101.38,,
3.5,,65,,13,101.38,,
4.2,,61,,17,101.39,,
4.5,,58,,18,101.4,,
4.4,,61,,17,101.41,,
3.4,,67,,15,101.48,,
3.2,,68,,14,101.52,,
2.9,,69,,15,101.55,,
2.6,,71,,13,101.58,,
0.2,,76,,11,101.61,,
0.4,,84,,9,101.6,,
0.5,,72,,8,101.6,,
0,,69,,10,101.6,,
-0.8,,67,,10,101.63,,
-4.5,,71,,9,101.67,,
-3.3,,71,,11,101.67,,
-5,,71,,10,101.73,,
-4.2,,62,,10,101.76,,
-3.1,,56,,10,101.76,,
-2.3,,52,,9,101.75,,
-1.5,,47,,16,101.73,,
-0.5,,44,,18,101.68,,
0.8,,46,,23,101.55,,
2,,44,,27,101.47,,
2.2,,47,,33,101.36,,
3.1,,44,,28,101.26,,
3.9,,34,,29,101.19,,
4.2,,34,,23,101.13,,
4.1,,33,,19,101.04,,
2.7,,36,,18,101.03,,
1,,41,,15,100.97,,
1.1,,38,,11,100.98,,
0.3,,40,,19,100.96,,
-2.2,,49,,13,100.95,,
-1.7,,47,,17,100.91,,
-2.4,,50,,16,100.84,,
-3.5,,54,,12,100.82,,
-4.8,,58,,8,100.75,,
-4.1,,59,,10,100.7,,
-3.6,,62,,10,100.71,,
-3.5,,70,,14,100.74,,
-3.8,,65,,22,100.74,,
-4.7,,79,,18,100.76,,
-4.6,,74,,13,100.78,,
-4.4,,77,,16,100.8,,
-4.3,,74,,14,100.81,,
-3.7,,60,,17,100.83,,
-3.1,,60,,15,100.87,,
-2.8,,56,,19,100.91,,
-2.2,,53,,18,100.98,,
-1.8,,52,,20,101.06,,
-1.7,,56,,21,101.16,,
-2.2,,59,,19,101.28,,
-2.2,,60,,15,101.38,,
-2.3,,59,,15,101.48,,
-2.2,,59,,12,101.55,,
-2.5,,63,,11,101.62,,
-2.3,,63,,15,101.65,,
-2.5,,62,,12,101.65,,
-3.6,,74,,16,101.72,,
-4.3,,78,,14,101.76,,
-4.7,,76,,11,101.81,,
-4.7,,76,,13,101.86,,
-4.3,,70,,13,101.93,,
-4.6,,68,,17,101.98,,
-4.8,,67,,17,102.03,,
-5.3,,75,,17,102.11,,
-5.2,,74,,15,102.15,,
-4.5,,69,,17,102.19,,
-3.6,,65,,15,102.21,,
-3,,60,,18,102.19,,
-1.7,,59,,16,102.19,,
-0.9,,58,,17,102.17,,
-0.2,,55,,17,102.15,,
0,,54,,17,102.12,,
0.1,,56,,20,102.09,,
0.2,,57,,20,102.09,,
0.3,,58,,16,102.1,,
0.5,,59,,15,102.08,,
0.3,,61,,12,102.07,,
0.1,,61,,13,102.07,,
-0.1,,62,,13,102.04,,
-0.6,,64,,12,102.02,,
-0.7,,65,,17,102.01,,
-0.8,,62,,16,102.02,,
-1.2,,66,,16,102,,
-1.6,,69,,15,102.01,,
-2.1,,71,,14,102.02,,
-2.5,,68,,12,102.03,,
-2.7,,67,,10,102.04,,
-3,,68,,9,102.07,,
-2.8,,67,,9,102.11,,
-2.2,,64,,9,102.13,,
-1.2,,60,,10,102.15,,
-0.7,,59,,7,102.16,,
-0.3,,60,,11,102.13,,
-0.1,,60,,14,102.09,,
0.3,,59,,17,102.09,,
0.3,,58,,19,102.08,,
0.8,,58,,17,102.05,,
0.6,,59,,16,102.03,,
0.1,,62,,13,102.01,,
-0.7,,64,,12,102.01,,
-0.9,,64,,12,102.01,,
-0.9,,63,,11,102.03,,
-1.6,,66,,7,102.02,,
-2.2,,68,,5,101.97,,
-2.7,,72,,0,101.9,,
-5.2,,79,,0,101.85,,
-5.3,,84,,0,101.8,,
-5.9,,76,,8,101.78,,
-6.5,,85,,4,101.82,,
-6.8,,83,,4,101.8,,
-5.8,,84,,5,101.74,,
-7.7,,88,,5,101.73,,
-3.8,,72,,13,101.65,,
-3.8,,70,,15,101.64,,
-3.8,,67,,15,101.57,,
-3.2,,67,,10,101.5,,
-2.7,,67,,8,101.41,,
-2.5,,63,,5,101.28,,
-2.2,,63,,6,101.19,,
-1.2,,58,,3,101.06,,
-1,,57,,6,100.99,,
-1.4,,63,,8,100.91,,
-2.6,,72,,10,100.93,,
-3.5,,75,,0,100.91,,
-3.1,,69,,6,100.89,,
-3.4,,70,,9,100.89,,
-3.7,,70,,10,100.88,,
-3.7,,70,,13,100.88,,
-3.8,,69,,17,100.84,,
-3.5,,70,,18,100.83,,
-4.3,,72,,19,100.8,,
-4.4,,73,,15,100.78,,
-4.5,,74,,15,100.81,,
-4.6,,75,,18,100.86,,
-4.3,,74,,17,100.9,,
-4.6,,74,,18,100.95,,
-3.7,,70,,15,101.03,,
-2.7,,65,,22,101.06,,
-1.2,,60,,19,101.09,,
0,,57,,19,101.1,,
1.2,,54,,17,101.07,,
1.6,,53,,19,101.04,,
2.2,,49,,13,101.03,,
3.1,,48,,12,101.03,,
2.4,,53,,12,101.03,,
3.2,,47,,5,101.08,,
2.4,,51,,4,101.15,,
0.4,,65,,11,101.2,,
0.2,,62,,8,101.26,,
-0.8,,64,,3,101.31,,
-1.4,,64,,4,101.28,,
-2.9,,79,,3,101.3,,
-5,,82,,0,101.33,,
-6.5,,86,,5,101.39,,
-4.9,,79,,7,101.38,,
-5.6,,78,,5,101.39,,
-6.2,,76,,4,101.41,,
-5.4,,76,,5,101.44,,
-5,,72,,6,101.47,,
-3.9,,71,,11,101.49,,
-2.7,,66,,11,101.47,,
-1.5,,61,,12,101.47,,
-0.6,,58,,13,101.47,,
0.4,,57,,11,101.46,,
1.4,,52,,8,101.45,,
3.2,,46,,12,101.37,,
3.7,,42,,7,101.31,,
4.4,,43,,11,101.24,,
4.3,,41,,8,101.18,,
3.9,,43,,11,101.17,,
3.1,,48,,9,101.21,,
1.5,,57,,8,101.24,,
2.2,,51,,7,101.22,,
2.2,,51,,9,101.19,,
1.8,,52,,7,101.17,,
1.4,,55,,5,101.15,,
0,,70,,5,101.11,,
-0.4,,69,,3,101.13,,
0.3,,65,,7,101.06,,
0.2,,62,,5,101.03,,
0,,63,,5,101.02,,
-0.2,,66,,7,101.02,,
-0.2,,71,,9,101.01,,
1.2,,71,,14,101.01,,
1.9,,70,,16,101.02,,
2.4,,70,,14,101.03,,
3.2,,68,,17,101.01,,
3.3,,71,,21,101,,
2.2,,84,,17,101,,
2.6,,79,,16,100.93,,
2.8,,77,,26,100.88,,
2.9,,79,,23,100.84,,
2.9,,80,,20,100.81,,
3,,81,,12,100.81,,
3,,81,,12,100.83,,
3,,83,,12,100.83,,
2.8,,84,,10,100.81,,
2.8,,84,,7,100.81,,
2.9,,84,,8,100.77,,
3,,83,,7,100.71,,
2.2,,89,,11,100.67,,
1.8,,89,,13,100.59,,
1.8,,90,,11,100.55,,
1.4,,92,,12,100.5,,
0.8,,95,,11,100.48,,
0.6,,96,,11,100.44,,
0.8,,95,,12,100.43,,
0.8,,94,,14,100.44,,
0.7,,93,,19,100.4,,
0.9,,91,,21,100.39,,
1.1,,90,,26,100.36,,
1.4,,88,,28,100.31,,
1.6,,85,,26,100.28,,
1.7,,85,,28,100.23,,
2.2,,83,,30,100.19,,
1.7,,85,,30,100.2,,
1.5,,90,,21,100.23,,
2,,85,,21,100.24,,
2.4,,84,,21,100.22,,
2.9,,80,,21,100.23,,
3,,80,,28,100.23,,
2.3,,86,,21,100.26,,
2.1,,84,,27,100.23,,
2,,84,,22,100.2,,
2,,79,,24,100.18,,
2,,75,,26,100.19,,
1.8,,73,,28,100.18,,
1.4,,73,,28,100.21,,
0.9,,72,,23,100.29,,
0.6,,70,,20,100.36,,
0.3,,71,,24,100.43,,
0.3,,69,,21,100.52,,
0.2,,67,,22,100.59,,
0.6,,67,,19,100.63,,
1.5,,63,,20,100.7,,
2.2,,57,,18,100.7,,
3.3,,52,,13,100.71,,
4.5,,49,,11,100.68,,
5.6,,49,,9,100.65,,
6,,46,,22,100.64,,
5.7,,44,,30,100.67,,
5.3,,44,,29,100.73,,
4.3,,48,,23,100.81,,
3.2,,52,,20,100.9,,
2.3,,52,,19,100.96,,
1.8,,50,,15,100.98,,
1.3,,48,,9,101,,
0.6,,52,,7,101.03,,
-0.2,,53,,6,101.02,,
-0.5,,54,,8,101.02,,
-0.6,,56,,7,100.97,,
0.1,,53,,8,100.95,,
0.3,,49,,15,100.94,,
0.3,,46,,13,100.92,,
0,,52,,15,100.98,,
0.5,,61,,17,100.98,,
0.7,,64,,13,100.98,,
1.2,,61,,16,100.97,,
2,,58,,15,100.93,,
2.3,,57,,19,100.9,,
0.4,,87,,14,100.91,,
1,,82,,15,100.89,,
1.7,,76,,17,100.83,,
2.2,,72,,22,100.82,,
1.8,,82,,17,100.83,,
1.4,,88,,15,100.83,,
1.5,,89,,8,100.83,,
1.6,,87,,13,100.83,,
1.7,,85,,9,100.84,,
1.6,,87,,9,100.83,,
1.6,,86,,4,100.79,,
1.2,,91,,6,100.7,,
1.1,,91,,5,100.69,,
1.4,,88,,7,100.63,,
1.7,,84,,10,100.57,,
1.5,,84,,14,100.46,,
1.6,,83,,12,100.4,,
1.9,,80,,8,100.33,,
2.2,,77,,10,100.3,,
2.7,,74,,11,100.22,,
3.7,,68,,10,100.11,,
3.8,,67,,11,100.05,,
4.3,,66,,11,99.88,,
5,,61,,15,99.72,,
4.7,,65,,20,99.59,,
3.2,,84,,16,99.51,,
3.5,,91,,14,99.38,,
3.4,,91,,18,99.31,,
3.7,,89,,22,99.25,,
3.7,,90,,21,99.16,,
3.4,,94,,21,99.13,,
3.6,,95,,17,99.14,,
4.4,,95,,16,99.15,,
6.2,,92,,20,99.18,,
6.1,,94,,20,99.25,,
5.3,,92,,24,99.36,,
4.9,,85,,21,99.51,,
3.7,,74,,30,99.67,,
2.6,,75,,34,99.76,,
2.2,,70,,28,99.81,,
1.8,,64,,22,99.86,,
1.3,,62,,22,100,,
1,,61,,23,100.08,,
0.9,,59,,17,100.19,,
1,,55,,15,100.22,,
1.3,,55,,14,100.2,,
1.7,,53,,9,100.17,,
1.9,,54,,11,100.19,,
2.5,,53,,16,100.14,,
2.9,,54,,18,100.08,,
3.1,,51,,18,100,,
3.6,,51,,18,99.95,,
3.3,,47,,13,99.9,,
2.4,,61,,27,99.96,,
2.1,,57,,20,100.01,,
1.6,,58,,23,100.02,,
0.8,,55,,25,100.04,,
0.1,,58,,20,100.03,,
-0.4,,62,,17,100.02,,
-0.7,,54,,26,100.04,,
-1.7,,54,,25,100.07,,
-2.7,,46,,31,100.11,,
-4.3,,59,,30,100.18,,
-5,,57,,24,100.17,,
-5.2,,54,,18,100.18,,
-5.6,,57,,17,100.19,,
-5.8,,59,,15,100.18,,
-5.2,,59,,21,100.21,,
-4.8,,63,,25,100.22,,
-5.3,,82,,22,100.3,,
-5.1,,67,,26,100.36,,
-4.9,,49,,33,100.47,,
-5,,48,,35,100.57,,
-5.3,,47,,34,100.67,,
-4.8,,43,,38,100.72,,
-5.1,,42,,32,100.79,,
-5.7,,41,,30,100.87,,
-5.1,,41,,31,100.96,,
-5.1,,42,,23,101.03,,
-5.3,,46,,13,101.11,,
-5.5,,48,,11,101.15,,
-5.3,,47,,7,101.16,,
-5.3,,57,,10,101.17,,
-5.9,,64,,12,101.18,,
-3.9,,63,,12,101.17,,
-3.3,,65,,8,101.15,,
-2,,66,,13,101.11,,
-1.2,,66,,13,101.07,,
-0.7,,69,,16,101.1,,
-0.5,,68,,18,101.15,,
-0.5,,67,,17,101.18,,
-0.4,,76,,16,101.23,,
0.7,,69,,24,101.28,,
1.7,,57,,26,101.3,,
2.1,,54,,25,101.31,,
3,,48,,23,101.32,,
4.1,,46,,24,101.32,,
4.9,,43,,26,101.33,,
5.2,,46,,24,101.33,,
4.9,,53,,25,101.35,,
4.3,,55,,26,101.38,,
4.1,,53,,23,101.41,,
3.7,,58,,17,101.47,,
3.1,,60,,10,101.53,,
2.5,,62,,10,101.57,,
2.6,,60,,11,101.59,,
2,,64,,9,101.61,,
1.7,,68,,6,101.63,,
1.4,,71,,10,101.65,,
1.7,,70,,10,101.71,,
1.5,,74,,9,101.72,,
0.1,,80,,7,101.71,,
0.1,,81,,9,101.71,,
0.6,,79,,8,101.76,,
1.3,,73,,8,101.75,,
1.2,,77,,3,101.8,,
3.1,,63,,11,101.79,,
3.7,,58,,10,101.83,,
4.3,,59,,12,101.9,,
5.3,,57,,16,101.96,,
4.1,,66,,20,102.05,,
3.1,,70,,10,102.11,,
3.8,,64,,8,102.13,,
4.2,,52,,13,102.17,,
3.8,,51,,13,102.22,,
3.9,,49,,15,102.25,,
2.4,,55,,11,102.29,,
1.8,,56,,8,102.37,,
1,,59,,5,102.45,,
-1,,72,,7,102.51,,
-2.1,,75,,6,102.52,,
-0.1,,46,,12,102.58,,
-1,,46,,9,102.62,,
-1.1,,42,,13,102.64,,
-1.8,,46,,12,102.68,,
-2.5,,46,,17,102.7,,
-3.3,,52,,13,102.74,,
-4.2,,53,,18,102.79,,
-5.1,,57,,13,102.85,,
-4.9,,54,,15,102.83,,
-4.5,,52,,21,102.85,,
-3.7,,48,,22,102.8,,
-2.2,,48,,18,102.73,,
-1.9,,45,,18,102.66,,
-0.5,,46,,19,102.56,,
-0.2,,43,,18,102.41,,
0.6,,42,,21,102.25,,
0.7,,43,,21,102.13,,
0.9,,40,,22,102.04,,
0.8,,40,,20,101.96,,
0.6,,40,,18,101.9,,
0.5,,37,,24,101.82,,
0.4,,40,,21,101.79,,
0.6,,43,,16,101.79,,
0.2,,50,,11,101.7,,
0.3,,52,,11,101.6,,
0.3,,55,,12,101.46,,
0.5,,54,,10,101.42,,
0.3,,53,,10,101.3,,
0.2,,55,,11,101.11,,
0.1,,57,,8,101.06,,
0,,61,,15,100.91,,
0.1,,62,,14,100.79,,
-0.1,,73,,14,100.77,,
0.1,,77,,11,100.66,,
0,,87,,7,100.6,,
0.6,,86,,3,100.49,,
1.2,,92,,4,100.36,,
1.8,,94,,4,100.29,,
3,,95,,3,100.15,,
1.1,,96,,12,100.1,,
1.4,,95,,4,100.01,,
1.9,,95,,3,99.98,,
1.9,,95,,8,100.08,,
2,,92,,14,100.13,,
1.3,,94,,11,100.17,,
1.2,,97,,15,100.3,,
1.2,,98,,11,100.34,,
1.8,,97,,16,100.37,,
2,,92,,14,100.42,,
2.3,,83,,19,100.49,,
1.9,,82,,10,100.58,,
1.9,,72,,25,100.66,,
0.9,,73,,16,100.77,,
0.6,,72,,17,100.82,,
-0.3,,73,,13,100.9,,
-0.7,,76,,13,100.97,,
0.6,,55,,34,101.04,,
1,,57,,27,101.06,,
1.5,,54,,24,101.15,,
1.7,,53,,24,101.16,,
2.6,,51,,17,101.15,,
3.2,,50,,15,101.23,,
3.9,,51,,15,101.22,,
4.2,,44,,19,101.25,,
5,,46,,14,101.3,,
3.8,,48,,19,101.31,,
3.9,,44,,17,101.36,,
3.2,,47,,20,101.48,,
2.3,,53,,16,101.55,,
1.3,,59,,8,101.61,,
0.6,,61,,5,101.61,,
-0.7,,68,,4,101.66,,
-0.7,,67,,3,101.7,,
-0.7,,68,,5,101.71,,
0.2,,62,,6,101.67,,
-0.1,,59,,9,101.75,,
-0.5,,61,,8,101.7,,
-1.1,,64,,12,101.69,,
-1.4,,64,,9,101.66,,
-0.4,,57,,11,101.71,,
-0.2,,57,,9,101.7,,
0.2,,55,,17,101.62,,
-0.1,,56,,20,101.45,,
-0.2,,59,,23,101.31,,
0.1,,60,,18,101.3,,
0.1,,63,,21,101.2,,
0.5,,63,,25,100.94,,
2.8,,59,,14,100.81,,
0.7,,91,,31,100.7,,
0.2,,96,,21,100.52,,
0.3,,96,,25,100.39,,
0.4,,95,,21,100.3,,
0.5,,95,,20,100.24,,
0.4,,96,,22,100.15,,
1.1,,92,,28,99.96,,
1.3,,91,,21,99.88,,
1.6,,91,,14,99.8,,
2.2,,88,,18,99.76,,
2.6,,91,,16,99.82,,
2.6,,90,,15,99.77,,
3.9,,78,,26,99.74,,
3.7,,79,,23,99.75,,
3.6,,78,,23,99.75,,
3.1,,80,,23,99.81,,
2.8,,79,,21,99.86,,
2.3,,84,,23,99.91,,
2.9,,80,,25,99.93,,
3.2,,73,,27,99.98,,
3.2,,73,,29,100.07,,
3.2,,71,,27,100.13,,
3.2,,73,,21,100.21,,
2.6,,87,,25,100.32,,
3,,83,,23,100.41,,
4.3,,72,,24,100.48,,
4.9,,60,,25,100.61,,
4.5,,61,,21,100.73,,
4.2,,63,,18,100.81,,
4.2,,62,,20,100.93,,
4,,63,,17,101.01,,
3.6,,64,,15,101.07,,
2.9,,68,,15,101.07,,
2.4,,69,,11,101.08,,
1.9,,72,,14,101.13,,
1.2,,73,,7,101.18,,
0.5,,78,,7,101.21,,
-0.6,,81,,4,101.22,,
-0.3,,79,,8,101.31,,
-0.8,,83,,0,101.35,,
0.8,,79,,0,101.43,,
2.9,,71,,8,101.43,,
3.6,,66,,13,101.45,,
4.7,,66,,11,101.44,,
5.3,,58,,9,101.44,,
5.8,,52,,10,101.42,,
6.8,,57,,10,101.38,,
6.8,,50,,3,101.37,,
6.9,,49,,9,101.37,,
6.4,,49,,13,101.34,,
6.1,,48,,9,101.34,,
5.6,,49,,8,101.36,,
3.9,,59,,4,101.41,,
4.6,,57,,5,101.48,,
4.1,,58,,5,101.5,,
4.8,,60,,6,101.49,,
2.9,,67,,13,101.51,,
2.8,,68,,14,101.53,,
2,,73,,10,101.55,,
1.7,,73,,21,101.53,,
1.5,,70,,16,101.56,,
1,,71,,15,101.58,,
0.4,,70,,18,101.6,,
0.4,,68,,18,101.62,,
0.4,,65,,19,101.68,,
0.5,,65,,16,101.72,,
1.1,,62,,14,101.73,,
2.1,,57,,10,101.74,,
2.6,,54,,7,101.71,,
3.3,,55,,9,101.66,,
3.2,,52,,14,101.61,,
3.6,,50,,11,101.57,,
3.6,,49,,16,101.56,,
3.8,,51,,15,101.55,,
3,,54,,15,101.56,,
2.7,,53,,12,101.57,,
2.1,,55,,10,101.6,,
1.3,,59,,8,101.65,,
0.4,,63,,9,101.66,,
-1.3,,69,,8,101.67,,
-1.9,,72,,7,101.63,,
-2.3,,76,,5,101.63,,
-2.1,,72,,0,101.61,,
-1.6,,73,,6,101.62,,
-2.8,,77,,0,101.58,,
-3.7,,83,,0,101.55,,
-3.6,,77,,0,101.55,,
-4.1,,84,,0,101.54,,
-0.3,,78,,8,101.56,,
1.4,,61,,13,101.5,,
3.7,,55,,14,101.42,,
5.7,,46,,14,101.36,,
6.8,,50,,16,101.22,,
8,,51,,17,101.08,,
8.7,,51,,23,100.93,,
8.4,,48,,18,100.81,,
8.7,,41,,14,100.69,,
8.7,,41,,20,100.57,,
8.6,,39,,21,100.47,,
7.1,,55,,40,100.49,,
5.1,,73,,25,100.46,,
0.7,,89,,39,100.55,,
-0.5,,94,,26,100.72,,
-0.6,,80,,28,100.73,,
-1.3,,69,,37,100.8,,
-2,,84,,28,100.99,,
-4,,66,,35,101.21,,
-5.7,,62,,37,101.38,,
-7.1,,63,,28,101.57,,
-7.4,,60,,26,101.75,,
-7.6,,61,,26,101.86,,
-7.7,,58,,21,101.96,,
-7.3,,63,,20,102.01,,
-6.3,,62,,19,102.06,,
-5.5,,60,,20,102.09,,
-4.2,,55,,23,102.08,,
-3.2,,50,,22,102.05,,
-2.1,,48,,25,102.03,,
-1.3,,41,,28,102,,
-1,,41,,30,101.96,,
-0.2,,36,,29,101.93,,
0.1,,36,,25,101.9,,
0.2,,36,,26,101.9,,
-0.1,,37,,22,101.92,,
-0.6,,39,,17,101.95,,
-0.9,,42,,10,102,,
-1.2,,44,,8,102.03,,
-0.9,,48,,13,102.08,,
-1.3,,58,,9,102.07,,
-1.3,,67,,11,102.05,,
-1.9,,68,,10,102.02,,
-2.5,,71,,8,102.02,,
-2.7,,71,,12,102.04,,
-3.5,,76,,6,102.03,,
-3.1,,73,,6,102.07,,
-3.2,,75,,4,102.1,,
-1.8,,70,,6,102.05,,
-0.1,,62,,10,102.02,,
1.5,,53,,13,102,,
2.3,,52,,8,101.92,,
2.6,,49,,8,101.82,,
3.2,,50,,16,101.68,,
3.5,,46,,20,101.56,,
3.6,,43,,20,101.47,,
3.6,,45,,14,101.39,,
2.1,,84,,24,101.3,,
0.5,,94,,16,101.22,,
0.6,,95,,12,101.16,,
0.5,,95,,12,101.08,,
0.6,,96,,12,101,,
0.6,,95,,10,100.96,,
0.8,,95,,8,100.8,,
1.1,,94,,9,100.67,,
