Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
0.2,,54,,8,101.48,,
0.1,,53,,11,101.45,,
0.2,,50,,12,101.43,,
0.2,,48,,10,101.34,,
0,,50,,11,101.35,,
0,,52,,14,101.37,,
-0.3,,54,,15,101.42,,
-0.8,,68,,17,101.46,,
-0.7,,68,,15,101.52,,
-0.1,,56,,21,101.53,,
-0.4,,65,,21,101.56,,
0.4,,62,,18,101.55,,
0.9,,58,,11,101.54,,
2.3,,52,,8,101.54,,
1.9,,52,,10,101.57,,
2.1,,48,,8,101.62,,
2.1,,44,,5,101.67,,
1.1,,48,,4,101.72,,
0.7,,51,,9,101.8,,
0.1,,67,,11,101.86,,
0,,69,,11,101.91,,
-0.3,,71,,18,101.94,,
-0.9,,75,,12,101.98,,
-0.6,,74,,10,102.02,,
-1.3,,76,,8,102.06,,
-0.9,,76,,7,102.08,,
-0.2,,72,,9,102.13,,
-0.1,,72,,7,102.13,,
0.1,,68,,12,102.15,,
0.1,,74,,8,102.18,,
0.2,,76,,11,102.23,,
0,,79,,8,102.28,,
1.4,,76,,12,102.32,,
2.4,,68,,16,102.32,,
2.7,,58,,23,102.26,,
5.2,,51,,20,102.25,,
6.3,,49,,17,102.2,,
7,,47,,20,102.16,,
7.6,,42,,23,102.12,,
7.8,,41,,21,102.12,,
7,,55,,18,102.13,,
6.7,,56,,22,102.14,,
6.6,,57,,23,102.19,,
6.1,,59,,19,102.23,,
6,,58,,23,102.24,,
6.3,,59,,21,102.26,,
6.4,,60,,21,102.25,,
6.4,,59,,17,102.22,,
6.2,,70,,10,102.2,,
5.3,,71,,11,102.15,,
5,,70,,13,102.14,,
5.4,,66,,16,102.1,,
5.9,,59,,15,102.06,,
6.1,,59,,17,102.05,,
5.7,,60,,19,102.01,,
6,,59,,16,102.02,,
6.3,,60,,16,102.01,,
7.3,,54,,13,101.97,,
8.1,,54,,20,101.86,,
9.7,,47,,21,101.74,,
11.5,,44,,20,101.6,,
13.1,,39,,23,101.49,,
11.9,,45,,18,101.45,,
10.9,,51,,19,101.4,,
11.4,,48,,19,101.37,,
13.2,,38,,22,101.28,,
11.2,,47,,17,101.27,,
10.3,,51,,15,101.24,,
10.8,,51,,13,101.19,,
10.2,,51,,16,101.13,,
10.7,,47,,7,101.16,,
12.5,,43,,18,101.16,,
10.2,,68,,21,101.25,,
9.9,,74,,33,101.27,,
9.7,,76,,25,101.3,,
9.8,,77,,18,101.31,,
9.9,,76,,15,101.36,,
9.4,,77,,16,101.46,,
8.1,,82,,9,101.49,,
7.2,,75,,16,101.58,,
6.9,,78,,11,101.66,,
7.3,,76,,10,101.7,,
7.4,,76,,9,101.71,,
8.2,,66,,9,101.7,,
9.1,,59,,4,101.63,,
9.2,,63,,15,101.59,,
9.5,,60,,15,101.55,,
9.2,,57,,12,101.53,,
9.2,,62,,7,101.5,,
8.4,,68,,10,101.52,,
7.2,,72,,6,101.55,,
6.3,,72,,4,101.53,,
5.5,,78,,0,101.52,,
6.2,,77,,4,101.51,,
6.1,,83,,3,101.46,,
5.3,,83,,3,101.41,,
5.9,,79,,5,101.35,,
5.7,,81,,3,101.31,,
4.8,,82,,0,101.3,,
4.5,,80,,8,101.28,,
4.6,,77,,8,101.26,,
3.5,,81,,5,101.31,,
3.4,,77,,6,101.34,,
4.4,,70,,8,101.36,,
4.5,,63,,9,101.45,,
4.8,,67,,5,101.44,,
5,,62,,4,101.47,,
6.2,,55,,3,101.44,,
7.2,,54,,10,101.41,,
7.6,,47,,10,101.39,,
7.6,,46,,13,101.4,,
7.3,,47,,20,101.43,,
6.1,,49,,19,101.53,,
5.2,,54,,17,101.61,,
4.4,,56,,18,101.69,,
3.4,,62,,13,101.75,,
2.3,,65,,11,101.79,,
1.9,,62,,12,101.83,,
1.8,,63,,17,101.89,,
0.9,,56,,13,101.89,,
0.4,,53,,14,101.87,,
0,,54,,15,101.88,,
-0.6,,58,,11,101.88,,
-0.9,,62,,13,101.91,,
-1.5,,65,,13,101.94,,
-2.2,,67,,10,101.93,,
-2.4,,70,,9,101.96,,
-3.2,,74,,9,101.96,,
-1.1,,67,,9,101.93,,
-0.6,,67,,10,101.88,,
0.7,,58,,11,101.75,,
1.7,,58,,10,101.69,,
3.2,,59,,10,101.58,,
3.9,,60,,9,101.43,,
4.6,,61,,9,101.28,,
5.2,,62,,9,101.19,,
5.6,,61,,8,101.06,,
5.5,,63,,10,100.92,,
5.2,,76,,12,100.79,,
6.4,,75,,23,100.57,,
6.5,,75,,13,100.5,,
7,,69,,21,100.45,,
7,,77,,19,100.3,,
6.8,,80,,27,100.11,,
7.4,,79,,28,99.93,,
8.1,,75,,27,99.79,,
8,,80,,25,99.71,,
8.1,,84,,24,99.58,,
8.4,,83,,23,99.53,,
8,,89,,19,99.58,,
7.9,,91,,23,99.5,,
8.3,,94,,20,99.49,,
8.8,,94,,20,99.5,,
9.3,,95,,20,99.49,,
10.3,,96,,16,99.49,,
11.1,,90,,25,99.52,,
10.9,,84,,20,99.58,,
9.4,,77,,25,99.73,,
7.3,,71,,26,99.9,,
6.8,,68,,30,100.04,,
5.5,,70,,30,100.21,,
4.1,,70,,28,100.4,,
3.1,,69,,27,100.57,,
2.4,,68,,25,100.73,,
1.7,,68,,25,100.83,,
1.4,,68,,26,100.92,,
1.2,,61,,26,100.97,,
0.5,,62,,28,101.05,,
0,,62,,25,101.13,,
-0.1,,59,,23,101.15,,
-0.3,,58,,26,101.21,,
-0.2,,59,,22,101.28,,
-0.3,,60,,24,101.33,,
-0.7,,61,,22,101.44,,
-1.2,,59,,23,101.52,,
-1.5,,60,,18,101.6,,
-1.3,,62,,16,101.69,,
-0.1,,57,,19,101.72,,
1,,57,,11,101.73,,
1.5,,52,,20,101.71,,
2.8,,51,,17,101.67,,
3.4,,50,,13,101.6,,
3.9,,48,,14,101.55,,
3.9,,48,,15,101.64,,
2.5,,55,,9,101.65,,
1.4,,59,,6,101.61,,
1.9,,58,,8,101.65,,
0.4,,65,,7,101.64,,
0.1,,70,,3,101.62,,
0.8,,66,,3,101.56,,
1.5,,55,,6,101.54,,
1.5,,52,,10,101.46,,
1.5,,49,,8,101.43,,
1.3,,47,,11,101.33,,
0.9,,51,,11,101.25,,
0.5,,54,,10,101.09,,
0.3,,53,,14,101.02,,
0.4,,51,,10,100.91,,
0,,65,,12,100.9,,
-1.2,,93,,16,100.8,,
-1.3,,95,,17,100.69,,
-1.5,,94,,18,100.62,,
-1.2,,93,,6,100.56,,
-0.9,,93,,13,100.48,,
-0.5,,94,,10,100.47,,
-0.5,,95,,10,100.4,,
