Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
16.7,,74,,6,101.89,,
15.5,,76,,3,101.87,,
14.2,,85,,4,101.89,,
14.6,,82,,5,101.9,,
14.8,,85,,6,101.92,,
13.2,,89,,5,101.96,,
12.6,,94,,5,102,,
14.7,,90,,3,102,,
16.5,,83,,4,102.01,,
18.6,,75,,3,102.02,,
20.7,,66,,7,102.03,,
22.7,,56,,8,102,,
23.9,,57,,13,101.99,,
24.3,,56,,10,101.91,,
24.5,,54,,9,101.89,,
23.8,,55,,14,101.87,,
23.4,,57,,12,101.87,,
22.7,,60,,10,101.89,,
22,,62,,8,101.92,,
22,,58,,5,101.94,,
21,,54,,7,101.99,,
20.2,,50,,9,102,,
18,,57,,4,102,,
15.7,,82,,6,102.05,,
14.8,,78,,7,102.05,,
12.8,,80,,7,102.03,,
12.7,,83,,3,102.01,,
11.2,,92,,3,102.03,,
10.9,,91,,0,102.02,,
12,,85,,5,102.01,,
11,,92,,4,102.07,,
12.2,,89,,7,102.07,,
14.5,,73,,6,102.08,,
16.6,,62,,5,102.07,,
18.8,,57,,5,102.03,,
21,,42,,0,101.99,,
21.6,,43,,6,101.92,,
22.4,,42,,7,101.87,,
22.7,,41,,8,101.82,,
22.7,,41,,10,101.76,,
22.7,,40,,10,101.71,,
21.6,,43,,11,101.64,,
20.9,,44,,8,101.64,,
19.5,,55,,14,101.56,,
19.4,,55,,9,101.59,,
18,,64,,10,101.54,,
18.4,,67,,11,101.55,,
18.1,,72,,12,101.54,,
18.3,,71,,13,101.47,,
17.9,,81,,9,101.5,,
18.2,,83,,16,101.45,,
18.2,,84,,10,101.43,,
17.6,,85,,13,101.42,,
17.6,,85,,12,101.47,,
17.5,,87,,15,101.51,,
18.3,,85,,14,101.5,,
19.1,,81,,18,101.51,,
20,,80,,13,101.55,,
21.5,,75,,9,101.55,,
22.8,,69,,12,101.52,,
24,,67,,15,101.5,,
25.6,,61,,16,101.43,,
26.4,,58,,18,101.38,,
26.5,,55,,15,101.38,,
26.2,,56,,14,101.37,,
25.6,,60,,8,101.35,,
24.9,,62,,10,101.37,,
24.1,,65,,13,101.41,,
23.2,,68,,5,101.43,,
22.4,,74,,9,101.47,,
21.8,,78,,11,101.45,,
20.8,,81,,7,101.47,,
20.2,,83,,8,101.51,,
19.4,,85,,3,101.54,,
19.2,,86,,5,101.54,,
18.9,,85,,11,101.57,,
18.5,,87,,9,101.62,,
18.1,,88,,7,101.66,,
17.9,,87,,7,101.73,,
18.6,,85,,10,101.77,,
19.7,,81,,11,101.81,,
21.3,,73,,8,101.82,,
23.6,,64,,8,101.81,,
24.2,,64,,8,101.77,,
25.8,,57,,9,101.71,,
27.1,,50,,7,101.65,,
28.5,,44,,7,101.63,,
29.1,,43,,5,101.57,,
29.2,,40,,3,101.56,,
27,,52,,10,101.54,,
26.3,,52,,9,101.53,,
26,,52,,7,101.51,,
24.5,,56,,11,101.49,,
23.1,,66,,11,101.5,,
21.9,,71,,14,101.49,,
20.3,,76,,9,101.51,,
19.6,,76,,8,101.54,,
19.1,,77,,0,101.58,,
18.9,,76,,9,101.55,,
18.3,,79,,10,101.53,,
18.1,,81,,10,101.51,,
18.6,,81,,14,101.55,,
19.5,,79,,14,101.59,,
21.1,,73,,16,101.57,,
22.2,,69,,11,101.6,,
23.3,,67,,12,101.6,,
25.1,,61,,14,101.57,,
25.5,,55,,14,101.5,,
27.2,,41,,13,101.42,,
27.7,,38,,13,101.34,,
28,,44,,9,101.27,,
27.8,,51,,13,101.21,,
26.5,,58,,15,101.16,,
24.5,,62,,15,101.11,,
22.8,,64,,17,101.11,,
22.5,,63,,20,101.12,,
22.1,,63,,21,101.11,,
21.2,,64,,17,101.11,,
20.3,,59,,7,101.09,,
19.6,,57,,13,101.08,,
20,,60,,20,101.05,,
19.7,,64,,19,101.05,,
19.3,,68,,21,101.01,,
18.8,,71,,23,100.98,,
18.6,,75,,25,100.98,,
18.1,,79,,23,100.97,,
18.3,,79,,25,100.95,,
18.4,,79,,23,100.97,,
19.7,,74,,23,100.96,,
20.7,,70,,28,100.93,,
21.9,,65,,26,100.89,,
22.4,,64,,25,100.87,,
23.2,,62,,26,100.81,,
22.8,,65,,24,100.77,,
23.3,,64,,29,100.7,,
22.9,,66,,27,100.69,,
22.7,,67,,29,100.66,,
19.5,,88,,8,100.81,,
18.8,,88,,11,100.86,,
17.6,,91,,7,100.86,,
17.8,,95,,9,100.83,,
18.1,,95,,7,100.84,,
17.8,,96,,11,100.79,,
17.4,,96,,6,100.75,,
17.4,,97,,3,100.66,,
17.2,,98,,6,100.62,,
17.3,,98,,3,100.55,,
16.2,,96,,8,100.55,,
16.1,,98,,7,100.5,,
16.2,,97,,4,100.45,,
16.5,,97,,8,100.41,,
16.2,,96,,10,100.44,,
15.7,,98,,3,100.37,,
16,,98,,0,100.34,,
16.2,,96,,8,100.24,,
16.2,,95,,8,100.2,,
15.6,,97,,10,100.07,,
15.7,,96,,12,100.06,,
15.9,,93,,15,100.03,,
15.6,,92,,14,100.01,,
13.4,,87,,27,100.05,,
12.6,,91,,24,99.98,,
11.4,,92,,18,100.05,,
10.7,,91,,18,100,,
10,,94,,12,99.95,,
