Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
13.8,,86,,4,101.79,,
13.7,,84,,3,101.83,,
14.1,,89,,6,101.85,,
14.3,,81,,11,101.88,,
14.2,,86,,9,101.89,,
13.8,,89,,7,101.93,,
14.1,,89,,7,102,,
15,,83,,6,102.08,,
16.8,,80,,6,102.1,,
18,,75,,9,102.15,,
19.4,,67,,10,102.13,,
20.9,,66,,14,102.12,,
21.9,,61,,17,102.09,,
22.4,,53,,18,102.06,,
22.8,,44,,17,102,,
23.1,,46,,17,101.95,,
22.9,,53,,12,101.88,,
22.7,,57,,13,101.82,,
22,,55,,11,101.79,,
21.2,,60,,10,101.81,,
20.6,,67,,9,101.82,,
19,,77,,12,101.8,,
18.3,,80,,11,101.77,,
18,,82,,12,101.73,,
18.4,,78,,18,101.71,,
18,,82,,11,101.68,,
17.7,,80,,10,101.66,,
17.5,,78,,12,101.61,,
17.1,,77,,10,101.58,,
16.3,,86,,5,101.56,,
15.7,,85,,0,101.55,,
17.7,,80,,9,101.52,,
19.2,,73,,13,101.42,,
19.5,,71,,13,101.37,,
21,,65,,19,101.32,,
22.1,,65,,22,101.14,,
22.9,,62,,20,101.08,,
24.4,,57,,22,101.01,,
24.1,,55,,21,100.93,,
24.5,,58,,18,100.88,,
24.7,,56,,19,100.82,,
23.9,,56,,20,100.78,,
23.1,,63,,20,100.77,,
22.7,,65,,18,100.77,,
22.2,,66,,16,100.78,,
22.2,,68,,19,100.77,,
22,,68,,17,100.76,,
21.7,,72,,14,100.75,,
21.6,,73,,15,100.73,,
21.5,,74,,18,100.73,,
20.8,,77,,19,100.71,,
20.1,,82,,12,100.74,,
19.6,,84,,10,100.73,,
19.3,,87,,14,100.75,,
19.2,,89,,13,100.78,,
19.9,,85,,14,100.81,,
21,,80,,14,100.8,,
22,,78,,10,100.82,,
23.2,,74,,14,100.77,,
24.5,,72,,16,100.76,,
25.3,,68,,16,100.72,,
26.6,,64,,18,100.69,,
27.2,,68,,14,100.61,,
27.3,,65,,16,100.58,,
27.6,,64,,16,100.54,,
27.4,,64,,14,100.53,,
26.8,,64,,15,100.51,,
25.7,,69,,10,100.54,,
24.5,,73,,12,100.61,,
24.5,,72,,11,100.59,,
23.6,,76,,12,100.56,,
23,,78,,11,100.59,,
22.4,,81,,8,100.6,,
22.3,,83,,9,100.54,,
20.6,,89,,7,100.54,,
20.2,,89,,7,100.52,,
19.9,,88,,3,100.56,,
20.9,,86,,3,100.6,,
21,,87,,6,100.63,,
22.3,,84,,5,100.65,,
23.5,,80,,10,100.64,,
24.2,,78,,12,100.64,,
25,,77,,10,100.68,,
26.5,,72,,12,100.66,,
27.1,,68,,15,100.65,,
28,,65,,14,100.63,,
28.8,,59,,17,100.6,,
29.2,,62,,16,100.59,,
29.3,,62,,12,100.6,,
28.7,,66,,12,100.63,,
27.1,,72,,11,100.67,,
26.2,,75,,6,100.73,,
27.3,,71,,6,100.76,,
25.4,,80,,6,100.77,,
24.6,,87,,6,100.82,,
24.4,,86,,5,100.83,,
23.3,,90,,5,100.83,,
23.6,,91,,5,100.84,,
23.1,,93,,8,100.84,,
22.7,,94,,8,100.87,,
22.5,,94,,6,100.88,,
22.4,,95,,6,100.9,,
22.3,,93,,9,100.97,,
22.9,,90,,9,101.03,,
24.2,,88,,0,101.07,,
25.4,,81,,6,101.07,,
26.6,,78,,11,101.07,,
27.5,,75,,11,101.03,,
28.7,,71,,12,101,,
30,,68,,12,100.97,,
30.3,,65,,15,100.92,,
30.7,,61,,12,100.87,,
30.8,,58,,10,100.83,,
29.9,,61,,11,100.82,,
29.4,,62,,12,100.82,,
28.7,,63,,9,100.84,,
28,,68,,6,100.85,,
26.4,,78,,4,100.83,,
24.8,,83,,0,100.81,,
26,,80,,6,100.81,,
25.1,,85,,7,100.83,,
24.8,,84,,6,100.79,,
24.4,,88,,9,100.76,,
23.6,,91,,10,100.75,,
23.1,,91,,8,100.75,,
22.8,,90,,9,100.75,,
22.6,,90,,9,100.77,,
23.1,,88,,7,100.77,,
24.1,,85,,9,100.75,,
25,,80,,9,100.7,,
26.1,,78,,11,100.65,,
27.3,,78,,14,100.59,,
28.2,,73,,11,100.54,,
29.9,,68,,14,100.47,,
30.7,,63,,19,100.41,,
31.1,,59,,15,100.34,,
30.8,,60,,14,100.3,,
30.6,,59,,16,100.25,,
29.8,,63,,14,100.21,,
28.9,,69,,11,100.24,,
28.3,,69,,9,100.3,,
27.9,,69,,8,100.27,,
26.9,,74,,7,100.21,,
25.6,,82,,8,100.2,,
25.1,,83,,10,100.16,,
24.8,,83,,8,100.15,,
24.1,,83,,5,100.15,,
23.4,,86,,6,100.17,,
22.9,,88,,0,100.19,,
23.1,,90,,6,100.19,,
23.5,,87,,9,100.25,,
24.4,,81,,13,100.28,,
25,,78,,15,100.3,,
26,,74,,18,100.31,,
26.6,,72,,17,100.32,,
26.8,,72,,15,100.33,,
28.5,,66,,23,100.32,,
28.2,,66,,18,100.26,,
29.3,,61,,17,100.25,,
29,,55,,20,100.24,,
28,,62,,16,100.3,,
25.6,,79,,17,100.29,,
