annee,mois,deplacements_membre,deplacements_occasionnel,total_deplacements
2022,janvier,52163,0,52163
2022,février,62013,0,62013
2022,mars,0,0,0
2022,avril,290818,52163,342981
2022,mai,1071931,206629,1278560
2022,juin,1167759,217494,1385253
2022,juillet,1274513,260185,1534698
2022,août,1263525,240602,1504127
2022,septembre,1153634,198477,1352111
2022,octobre,959988,158270,1118258
2022,novembre,390699,61054,451753
2022,décembre,0,0,0
2023,janvier,0,0,0
2023,février,0,0,0
2023,mars,0,0,0
2023,avril,584330,89201,673531
2023,mai,1387201,209535,1596736
2023,juin,1468225,215201,1683426
2023,juillet,1580204,250237,1830441
2023,août,1618526,257314,1875840
2023,septembre,1678257,256215,1934472
2023,octobre,1292152,158953,1451105
2023,novembre,571845,78347,650192
2023,décembre,95020,79662,174682
2024,janvier,54548,0,54548
2024,février,70274,0,70274
2024,mars,117652,88520,206172
2024,avril,638361,94493,732854
2024,mai,1499911,222251,1722162
2024,juin,1658832,239640,1898472
2024,juillet,1833216,258856,2092072
2024,août,1730989,240556,1971545
2024,septembre,1808023,205131,2013154
2024,octobre,1463133,150298,1613431
2024,novembre,758380,102500,860880
2024,décembre,128201,113858,242059
2025,janvier,65752,7833,73585
2025,février,39558,4427,43985
